time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780826683.56,0.11,-0.99,-0.52,-4.43,13.60,0.70,1.12
1780826683.76,0.21,-0.73,-0.56,-39.17,10.43,-14.18,0.94
1780826683.96,0.13,-0.60,-0.41,-6.47,15.08,-10.40,0.74
1780826684.16,0.07,-0.63,-0.34,-7.27,24.54,-9.66,0.72
1780826684.36,0.52,-0.63,-0.77,-57.03,23.16,13.21,1.12
1780826684.56,0.87,-1.14,-0.43,33.01,98.11,36.58,1.50
1780826684.76,0.17,-0.67,-0.14,193.08,112.14,83.03,0.71
1780826684.96,0.77,0.06,1.83,15.11,45.44,-45.23,1.98
1780826685.17,0.05,-0.26,0.86,125.79,-64.99,30.98,0.90
1780826685.36,-0.32,-0.42,0.77,15.83,-3.14,46.16,0.93
1780826685.56,0.11,-0.45,0.69,-14.95,-6.26,-4.53,0.83
1780826685.76,-0.19,0.09,0.89,-1.95,-3.03,49.00,0.91
1780826685.96,0.08,-0.48,0.82,36.75,6.97,-17.55,0.95
1780826686.17,-0.31,-0.42,0.89,0.92,9.58,10.40,1.03
1780826686.36,-0.15,-0.37,0.82,2.45,-4.40,10.93,0.92
