time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780826263.83,-0.00,-0.97,-0.18,0.17,-1.48,-1.70,0.99
1780826264.02,-0.03,-0.99,-0.26,-1.36,2.53,7.27,1.02
1780826264.23,-0.07,-0.98,-0.26,-7.17,-7.05,14.42,1.02
1780826264.42,-0.12,-0.95,-0.26,-2.39,-7.96,17.73,0.99
1780826264.63,-0.22,-0.92,-0.26,-2.56,-11.62,22.40,0.98
1780826264.83,-0.24,-0.89,-0.26,-0.18,-15.11,18.17,0.95
1780826265.03,-0.26,-0.86,-0.23,4.22,-13.66,33.49,0.93
1780826265.23,-0.29,-0.68,-0.26,19.77,-10.48,39.62,0.78
1780826265.43,-0.29,-0.62,-0.44,17.24,-9.43,59.26,0.81
1780826265.64,-1.07,-1.71,0.70,-15.08,-116.00,193.08,2.13
1780826265.83,0.49,0.39,0.72,119.35,76.18,-85.10,0.96
1780826266.03,-0.58,0.74,0.79,28.62,-115.43,19.91,1.23
1780826266.24,-0.18,0.57,0.58,-10.34,19.14,-49.34,0.83
1780826266.43,-0.42,0.22,0.66,-12.37,82.02,-21.73,0.81
1780826266.63,-0.95,0.17,0.26,32.33,112.54,-23.41,1.00
1780826266.82,-0.99,-0.17,-0.37,1.84,128.91,-3.40,1.07
1780826267.03,-0.99,0.18,-0.81,1.36,-4.43,34.34,1.29
1780826267.23,-0.99,0.23,-0.40,1.28,-6.68,-5.31,1.09
1780826267.43,-0.96,0.13,-0.35,8.82,-19.95,-34.92,1.03
1780826267.63,-0.97,-0.01,-0.14,-3.61,-7.21,-19.29,0.98
