time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780826345.65,-0.05,-0.95,-0.12,-6.60,-4.73,-0.22,0.95
1780826345.85,-0.11,-0.95,-0.31,-27.28,2.28,-2.85,1.01
1780826346.05,-0.09,-0.96,-0.31,-2.47,-3.47,-3.82,1.02
1780826346.26,-0.10,-0.95,-0.31,5.89,-10.18,-0.93,1.00
1780826346.45,-0.10,-0.94,-0.32,8.90,-5.00,-0.55,1.00
1780826346.65,-0.07,-0.91,-0.30,14.13,6.47,1.44,0.96
1780826346.85,-0.07,-0.86,-0.24,17.90,5.94,4.34,0.90
1780826347.06,-0.09,-0.71,-0.25,36.32,-0.71,7.53,0.76
1780826347.25,-0.03,-0.46,-0.22,77.03,-1.93,13.73,0.51
1780826347.46,-0.48,-2.00,-0.36,-29.50,48.79,-21.30,2.09
1780826347.65,-0.17,-0.39,0.15,147.74,-68.49,10.89,0.46
1780826347.85,-0.13,0.06,0.73,-82.91,19.76,-13.00,0.74
1780826348.05,-0.01,0.52,0.93,-5.17,-9.31,-26.04,1.06
1780826348.25,-0.02,-0.08,0.80,-109.76,4.37,-9.28,0.81
1780826348.45,-0.24,-0.80,1.18,-43.11,58.45,-24.29,1.44
1780826348.65,-0.37,-0.74,0.48,20.66,12.19,5.83,0.96
1780826348.85,-0.05,-0.04,0.89,83.27,0.71,12.25,0.89
1780826349.05,-0.25,-0.39,0.76,62.08,-17.23,0.76,0.89
1780826349.25,-0.13,-0.28,1.01,-62.18,5.13,-14.40,1.06
1780826349.45,-0.20,-0.25,0.88,14.22,-3.82,-10.33,0.94
1780826349.65,-0.17,-0.20,0.84,19.84,-9.51,-0.16,0.89
