time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780827615.55,-0.11,-0.93,-0.35,-10.18,8.69,3.67,1.00
1780827615.75,0.03,-0.78,-0.44,-43.24,-26.73,-19.60,0.90
1780827615.95,-0.01,-0.55,-0.38,-72.90,-1.08,-3.24,0.67
1780827616.15,0.40,-0.92,-0.98,62.16,39.85,-19.33,1.40
1780827616.35,-0.18,-1.45,-0.43,246.11,-104.40,180.94,1.53
1780827616.55,-0.10,0.00,0.05,129.85,-83.73,200.54,0.11
1780827616.76,-1.22,-0.20,0.93,220.84,-38.72,148.45,1.55
1780827616.95,-0.39,-0.07,0.23,9.68,-55.48,46.85,0.46
1780827617.15,-1.55,-0.30,0.58,4.28,42.82,33.69,1.68
1780827617.35,-0.97,-0.10,0.54,14.33,-40.92,-39.66,1.12
1780827617.55,-0.90,-0.07,0.63,16.46,-9.22,14.58,1.10
1780827617.75,-0.70,0.07,0.39,-92.44,-77.18,16.69,0.81
1780827617.96,-0.54,-0.35,0.33,66.27,45.49,59.60,0.73
1780827618.15,-0.70,-0.17,0.51,7.77,25.46,3.31,0.88
1780827618.35,-0.58,-0.33,0.66,-0.95,17.52,9.09,0.94
1780827618.55,-0.76,-0.11,0.58,-14.78,-5.22,12.42,0.96
1780827618.75,-0.74,-0.17,0.63,0.63,-6.48,-0.47,0.98
1780827618.95,-0.76,-0.14,0.58,-5.21,0.23,0.85,0.97
1780827619.15,-0.73,-0.11,0.58,-5.47,2.94,1.96,0.94
1780827619.35,-0.73,-0.14,0.59,-0.72,-3.95,1.80,0.95
1780827619.55,-0.74,-0.14,0.58,-2.60,-2.11,-2.50,0.95
1780827619.76,-0.73,-0.15,0.58,0.20,-0.04,-0.61,0.95
