time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780826628.65,0.28,-0.93,-0.31,-5.85,7.50,0.97,1.02
1780826628.86,0.23,-0.85,-0.38,-10.41,21.63,14.71,0.96
1780826629.05,0.20,-0.76,-0.44,-29.34,26.95,25.89,0.90
1780826629.25,0.09,-0.54,-0.39,-13.76,27.73,34.35,0.67
1780826629.45,0.11,-0.75,-0.47,30.72,-29.69,33.45,0.90
1780826629.65,-0.36,-1.15,-0.58,-56.92,-68.78,5.66,1.34
1780826629.85,-0.84,-0.19,0.36,99.21,-250.14,50.15,0.94
1780826630.05,-0.02,0.19,1.05,59.24,-64.58,74.71,1.07
1780826630.25,-0.34,-0.34,0.43,34.56,56.02,65.68,0.65
1780826630.46,0.00,-0.41,0.49,59.65,5.95,8.36,0.63
1780826630.65,-0.52,-0.39,0.65,-2.39,16.79,2.86,0.92
1780826630.85,-0.65,0.11,0.81,26.50,-18.61,-57.34,1.05
1780826631.07,-0.38,-0.72,0.50,-66.27,10.61,-5.60,0.95
1780826631.25,-0.35,-0.19,0.84,8.90,-6.73,6.89,0.93
1780826631.45,-0.54,-0.30,0.80,29.21,-24.34,-3.53,1.01
1780826631.65,-0.53,-0.47,0.66,12.92,-2.79,-23.15,0.97
