time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780825837.22,-0.01,-0.99,-0.26,-7.14,-7.47,6.40,1.02
1780825837.41,0.01,-0.98,-0.15,9.24,10.00,9.40,0.99
1780825837.62,-0.05,-0.95,-0.10,3.81,-1.30,9.72,0.96
1780825837.81,-0.06,-0.99,-0.13,-3.60,-1.60,8.75,1.00
1780825838.01,-0.11,-0.98,-0.17,4.34,-1.76,9.26,1.00
1780825838.22,-0.15,-0.98,-0.15,-1.96,-0.11,5.06,1.00
1780825838.42,-0.19,-0.93,-0.14,-3.92,2.64,15.36,0.96
1780825838.62,-0.17,-0.93,-0.16,-1.01,2.08,20.19,0.96
1780825838.82,-0.16,-0.83,-0.16,-3.09,7.37,31.28,0.86
1780825839.02,-0.17,-0.59,-0.12,-6.53,-0.40,34.53,0.63
1780825839.21,-0.36,-0.19,-0.12,-8.38,-22.82,61.76,0.42
1780825839.41,-2.00,-2.00,0.10,-22.73,95.73,146.58,2.83
1780825839.62,-0.96,1.01,-0.49,-84.27,94.40,37.92,1.48
1780825839.82,-0.99,-0.30,-0.46,-23.80,-32.69,47.08,1.13
1780825840.02,-1.30,0.27,0.07,47.39,44.59,-29.06,1.32
1780825840.21,-1.06,-0.19,-0.42,2.55,138.86,-38.56,1.16
1780825840.42,-0.69,-0.27,-1.01,-42.32,9.21,-26.64,1.25
1780825840.62,-0.86,-0.06,-0.68,-1.79,-42.97,47.21,1.09
1780825840.81,-0.83,0.07,-0.58,14.08,-5.27,-16.82,1.02
1780825841.02,-0.81,-0.03,-0.51,-2.92,10.69,-3.79,0.96
1780825841.22,-0.85,0.03,-0.67,-1.18,20.00,6.60,1.09
1780825841.41,-0.80,0.04,-0.72,3.86,-5.02,-1.09,1.07
