time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780823758.47,-0.16,-0.92,0.21,1.90,-2.20,7.46,0.95
1780823758.67,-0.07,-1.00,0.08,3.23,-1.18,1.34,1.00
1780823758.92,-0.08,-0.94,0.08,6.36,-3.22,4.00,0.94
1780823759.07,-0.10,-0.85,0.06,8.33,-7.11,2.44,0.86
1780823759.27,-0.07,-1.01,0.19,-34.27,-0.15,-1.90,1.03
1780823759.47,-0.08,-0.99,0.10,7.70,-0.67,8.12,1.00
1780823759.67,-0.11,-0.97,0.11,22.11,0.57,14.84,0.98
1780823759.87,-0.11,-0.87,0.16,29.32,-3.05,14.28,0.89
1780823760.07,-0.13,-0.83,0.19,34.87,3.16,21.49,0.86
1780823760.27,-0.13,-0.59,0.18,38.47,2.46,28.39,0.63
1780823760.47,-0.12,-0.62,0.09,61.55,-19.95,22.29,0.63
1780823760.67,-0.51,-1.38,1.13,53.69,-41.05,28.99,1.85
1780823760.87,-0.70,1.63,0.88,30.85,-79.65,134.84,1.98
1780823761.07,-0.36,0.48,0.56,24.92,-13.00,43.33,0.82
1780823761.27,-0.40,0.65,0.72,-23.73,1.89,-23.66,1.05
1780823761.47,-0.48,0.31,0.71,-22.44,10.17,-31.05,0.91
1780823761.67,-0.52,0.16,0.78,-9.96,-11.31,9.50,0.95
1780823761.87,-0.56,0.09,0.60,-26.82,-24.14,-20.05,0.82
1780823762.07,-0.41,-0.02,0.58,-45.00,3.00,-20.76,0.71
