time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773565535.17,0.27,-0.35,0.83,-13.88,-18.15,4.27,0.94
1773565535.27,0.25,-0.34,0.83,-8.24,-17.89,1.75,0.93
1773565535.38,0.27,-0.34,0.84,-3.15,-11.91,-3.63,0.94
1773565535.47,0.26,-0.31,0.83,-8.17,-10.35,-0.40,0.93
1773565535.57,0.25,-0.34,0.86,-13.80,-9.33,0.08,0.96
1773565535.67,0.26,-0.31,0.82,-14.47,-9.02,9.21,0.92
1773565535.78,0.42,-0.35,0.91,12.37,-24.00,-77.88,1.06
1773565535.89,0.37,-0.25,0.75,-11.16,-49.71,-53.04,0.87
1773565535.99,0.23,-0.28,0.87,-23.60,-77.59,2.76,0.94
1773565536.09,0.46,-0.34,0.76,-16.43,-59.66,4.20,0.95
1773565536.19,0.34,-0.39,0.69,-69.57,-31.94,4.81,0.87
1773565536.29,0.31,-0.45,0.78,-31.44,-2.03,-41.02,0.95
1773565536.40,0.39,-0.39,0.72,-57.40,2.12,31.48,0.91
1773565536.51,0.28,-0.46,0.72,-18.11,38.17,45.77,0.91
1773565536.60,0.30,-0.32,0.86,5.51,-40.38,107.69,0.97
1773565536.70,-0.08,-0.33,0.92,120.17,-31.15,253.83,0.98
1773565536.81,-0.34,0.09,0.89,180.67,-41.16,94.76,0.96
1773565536.92,0.76,-0.40,2.00,191.37,-280.18,212.21,2.18
1773565537.03,0.01,-0.11,1.20,-48.38,-155.24,66.98,1.21
1773565537.12,0.41,0.13,1.03,-56.93,37.88,77.21,1.11
1773565537.30,0.11,-0.08,0.70,-145.10,99.37,27.31,0.71
1773565537.33,-0.11,-0.23,0.51,-57.97,22.18,55.89,0.57
1773565537.49,-0.20,-0.19,0.53,-13.57,2.44,-5.73,0.60
1773565537.54,-0.21,-0.30,0.70,-13.13,-70.95,-0.02,0.80
1773565537.64,-0.15,-0.13,0.79,128.17,-30.86,18.70,0.82
