time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780826451.15,0.09,-0.90,-0.16,29.43,22.70,27.74,0.92
1780826451.35,0.05,-0.98,-0.21,-16.41,22.75,-9.66,1.00
1780826451.55,0.14,-0.94,-0.25,-0.74,-0.45,-5.86,0.98
1780826451.75,0.16,-0.93,-0.28,-0.07,-13.01,11.50,0.98
1780826451.94,0.05,-0.96,-0.30,-10.77,-16.22,2.38,1.01
1780826452.15,0.04,-0.97,-0.32,-9.98,-9.14,13.93,1.02
1780826452.34,-0.01,-0.93,-0.38,-14.46,-5.35,16.87,1.00
1780826452.54,-0.10,-0.95,-0.42,-11.54,-4.40,15.32,1.05
1780826452.74,-0.04,-0.84,-0.36,-16.65,-2.37,23.87,0.92
1780826452.94,-0.07,-0.73,-0.36,-10.24,1.85,20.89,0.82
1780826453.15,-0.11,-0.61,-0.38,-15.96,-18.92,41.00,0.72
1780826453.35,-0.21,-0.51,-0.49,-8.02,-67.84,44.32,0.74
1780826453.54,-0.26,-1.55,-0.98,-133.90,-10.66,-158.05,1.85
1780826453.75,-1.19,0.61,-0.27,147.23,-20.80,83.79,1.37
1780826453.95,-1.00,-0.35,-0.24,-70.69,-13.63,-5.08,1.08
1780826454.15,-0.63,0.04,0.24,8.61,64.71,-58.38,0.68
1780826454.35,-0.79,-0.21,-0.22,-54.76,122.47,-37.92,0.85
1780826454.55,-1.01,-0.54,-1.23,-31.01,33.47,77.91,1.68
1780826454.75,-0.72,-0.10,-0.90,-1.08,-56.14,-39.48,1.16
1780826454.95,-0.80,0.06,-0.34,14.72,-10.31,-46.64,0.88
1780826455.15,-0.92,-0.54,-0.69,-26.55,6.11,44.22,1.27
1780826455.35,-0.78,-0.17,-0.64,4.69,-2.26,-7.72,1.03
1780826455.55,-0.86,-0.12,-0.57,-0.11,-0.09,3.74,1.04
1780826455.74,-0.80,-0.19,-0.65,5.11,-2.40,12.23,1.05
1780826455.95,-0.86,-0.17,-0.57,7.02,-3.83,3.93,1.05
1780826456.15,-0.82,-0.15,-0.63,0.47,2.28,-2.23,1.05
