time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780824671.81,-0.01,-0.96,-0.29,-0.96,-0.23,-1.88,1.00
1780824672.01,0.06,-0.94,-0.43,-11.31,11.93,11.40,1.03
1780824672.21,-0.01,-0.82,-0.40,-7.58,23.28,14.74,0.91
1780824672.41,-0.06,-0.52,-0.29,-12.86,19.52,17.93,0.60
1780824672.61,-0.01,-0.70,-0.39,-11.21,-23.18,3.44,0.80
1780824672.81,0.09,-0.93,-0.36,-22.71,1.95,17.55,1.00
1780824673.01,-1.29,-0.39,0.18,-250.14,-16.37,228.15,1.36
1780824673.21,0.06,-0.07,0.57,83.27,-182.97,73.69,0.57
1780824673.41,-0.01,0.35,0.80,-2.85,14.56,41.97,0.87
1780824673.61,-0.77,-0.15,0.74,-35.11,-92.82,-45.14,1.08
1780824673.81,-0.49,0.33,0.81,46.47,-26.66,-88.37,1.00
1780824674.01,-0.85,-0.18,0.71,-31.64,58.68,-21.76,1.12
1780824674.21,-0.61,-0.03,0.93,2.89,-2.24,-4.13,1.11
1780824674.41,-0.61,-0.13,0.95,15.08,-3.58,-26.98,1.14
1780824674.61,-0.69,-0.27,0.65,17.95,-11.31,-2.37,0.98
1780824674.81,-0.81,-0.15,0.79,3.69,13.92,24.22,1.14
1780824675.01,-0.74,-0.02,0.94,20.99,-32.11,4.05,1.20
