time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1800420495.0,0.51,0.42,0.8,-115.57,-46.37,86.07,1.04
1800420495.1224325,0.48,0.44,0.77,3.4,1.13,4.92,1.0
1800420495.244865,0.51,0.32,0.64,-1.53,-8.72,-5.68,0.88
1800420495.3672974,0.41,0.42,0.79,38.52,-15.63,4.24,0.99
1800420495.4897301,0.42,0.36,0.79,7.14,-18.91,-1.94,0.96
1800420495.6121626,0.47,0.42,0.81,6.4,2.32,-14.0,1.02
1800420495.734595,0.42,0.32,0.75,18.85,24.89,15.4,0.92
1800420495.8570275,0.38,0.31,0.77,25.71,-0.96,11.53,0.92
1800420495.97946,0.35,0.39,0.87,1.93,1.99,-6.31,1.02
1800420496.1018925,0.45,0.31,0.84,-21.72,5.29,2.52,1.0
1800420496.2243252,0.48,0.31,0.69,-56.51,-25.41,44.17,0.89
1800420496.3467577,0.46,0.13,0.66,-15.4,82.98,22.28,0.82
1800420496.4691901,0.27,0.22,0.76,58.49,107.14,6.84,0.83
1800420496.5916226,0.09,0.28,0.79,64.41,-6.13,-51.25,0.84
1800420496.714055,0.73,-0.32,1.01,145.14,-261.26,-117.48,1.29
1800420496.8364875,0.66,-0.57,1.09,-33.35,-130.1,-98.21,1.4
1800420496.95892,0.4,0.05,0.71,-373.77,111.99,-100.54,0.82
1800420497.0813527,0.23,0.13,0.77,-278.02,217.07,-170.67,0.82
1800420497.2037852,0.36,0.29,0.87,-168.95,245.89,-219.27,0.98
1800420497.3262177,0.65,0.52,0.69,-41.53,180.47,-199.43,1.09
1800420497.4486501,0.35,0.52,0.55,-80.11,-2.38,-189.57,0.84
1800420497.5710826,0.34,0.59,0.64,-52.52,-15.64,-99.66,0.94
1800420497.693515,0.35,0.61,0.69,-6.78,-14.71,-86.47,0.99
