time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780825020.89,0.09,-0.95,0.08,-9.95,-5.94,-12.93,0.96
1780825021.08,0.17,-0.96,-0.03,12.27,-2.35,9.07,0.97
1780825021.28,0.16,-0.95,-0.05,2.42,16.37,4.79,0.97
1780825021.48,0.10,-0.88,-0.06,-4.69,-30.25,-4.55,0.89
1780825021.68,-0.19,-0.11,-0.12,58.41,31.07,33.83,0.25
1780825021.88,-0.24,-1.49,0.97,161.31,123.38,99.08,1.80
1780825022.08,-2.00,0.91,2.00,250.13,243.62,203.84,2.97
1780825022.28,-2.00,-0.44,2.00,181.89,58.88,51.36,2.86
1780825022.48,-0.63,-0.28,0.06,19.50,48.24,109.87,0.69
1780825022.68,-1.07,0.06,0.70,15.44,30.37,-11.63,1.28
1780825022.88,-0.35,0.48,0.61,-4.52,-56.60,-40.85,0.85
1780825023.08,-0.74,-0.33,0.93,-21.78,-63.47,-34.87,1.24
1780825023.28,-0.63,-0.03,0.63,-13.85,-29.54,4.06,0.89
1780825023.48,-0.74,0.12,0.50,19.92,14.62,-9.28,0.91
1780825023.68,-0.72,-0.06,0.64,7.70,-20.42,13.58,0.96
1780825023.88,-0.73,0.00,0.61,-2.53,14.28,-8.76,0.95
1780825024.08,-0.81,-0.05,0.51,-7.92,-5.04,4.18,0.96
1780825024.28,-0.74,-0.03,0.59,-6.14,-4.04,-5.78,0.94
1780825024.48,-0.76,-0.04,0.57,-0.73,-1.55,-1.00,0.95
1780825024.68,-0.78,-0.03,0.59,-1.20,0.65,0.06,0.98
