time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780825652.10,0.13,-1.01,0.11,-0.40,-5.39,3.05,1.03
1780825652.30,0.08,-0.91,0.04,5.94,13.18,7.00,0.92
1780825652.50,0.13,-0.85,-0.07,12.18,8.63,3.13,0.86
1780825652.71,0.05,-0.37,-0.10,38.53,-4.66,11.31,0.39
1780825652.90,0.41,-2.00,-0.64,-73.86,23.26,-131.98,2.14
1780825653.10,0.27,-1.10,-0.27,-9.05,17.01,52.03,1.17
1780825653.30,0.38,-1.17,0.38,146.55,76.65,67.39,1.29
1780825653.50,-0.69,-0.57,0.28,222.21,19.74,78.94,0.93
1780825653.70,-0.24,-0.48,0.22,-109.61,-9.60,-63.11,0.58
1780825653.90,-0.25,0.21,0.90,-107.61,60.98,-19.65,0.96
1780825654.10,-0.56,0.14,0.69,1.41,-9.84,23.58,0.90
1780825654.30,-0.77,-0.10,0.66,-40.04,15.26,-28.87,1.02
1780825654.50,-0.29,-0.17,1.02,19.81,-46.47,-2.84,1.07
1780825654.70,-0.72,0.42,0.94,11.59,14.87,-4.60,1.25
1780825654.90,-0.25,-0.39,0.85,3.34,-30.59,-5.66,0.97
1780825655.10,-0.68,0.09,0.83,-13.79,28.76,5.29,1.08
1780825655.30,-0.35,-0.21,0.86,4.12,-23.11,-1.08,0.95
1780825655.51,-0.51,-0.07,0.75,-0.37,5.05,9.50,0.91
1780825655.70,-0.46,-0.13,0.81,-7.71,4.70,1.88,0.94
1780825655.90,-0.52,-0.07,0.85,1.94,0.98,-0.56,1.00
1780825656.10,-0.48,-0.07,0.81,-2.13,-1.02,3.31,0.94
1780825656.30,-0.47,-0.09,0.80,-3.50,-6.45,-3.39,0.93
1780825656.52,-0.47,-0.11,0.81,-1.46,-4.08,-0.06,0.94
1780825656.70,-0.46,-0.10,0.81,-1.39,-8.01,-2.69,0.94
