time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1800420625.0,0.18,-0.66,0.75,-3.04,-21.13,-7.45,1.02
1800420625.0955124,0.22,-0.58,0.83,1.4,-5.84,17.76,1.04
1800420625.1910245,0.19,-0.56,0.72,1.84,1.84,-0.37,0.93
1800420625.286537,0.32,-0.48,0.94,-1.93,-34.08,-20.57,1.1
1800420625.3820493,0.24,-0.49,0.85,-6.52,-2.6,-77.58,1.01
1800420625.4775615,0.26,-0.67,0.59,-18.47,-22.56,-38.52,0.93
1800420625.5730739,0.21,-0.76,0.52,-41.59,-10.04,23.92,0.95
1800420625.668586,0.26,-0.74,0.66,-48.35,-0.41,66.42,1.03
1800420625.7640984,0.16,-0.61,0.73,-35.89,3.75,74.51,0.97
1800420625.8596108,0.19,-0.6,0.73,-18.34,-8.78,64.24,0.96
1800420625.955123,0.15,-0.5,0.8,-0.49,-23.34,87.56,0.96
1800420626.0506353,0.13,-0.58,0.73,10.33,-17.97,79.95,0.94
1800420626.1461477,0.16,-0.36,0.64,-8.64,-38.03,61.0,0.75
1800420626.2416599,0.21,-0.34,0.5,-26.31,-97.47,-9.06,0.64
1800420626.3371723,0.25,-0.68,0.12,45.28,29.13,-77.49,0.73
1800420626.4326847,0.98,-0.87,0.46,68.56,15.8,-254.14,1.39
1800420626.5281968,1.47,-0.56,0.92,7.49,-248.72,-331.14,1.83
1800420626.6237092,0.41,0.01,0.19,-166.32,-149.41,-27.15,0.45
1800420626.7192214,0.75,0.07,1.01,-356.47,-327.98,-58.16,1.26
1800420626.8147337,0.04,-0.3,1.39,12.96,16.98,31.39,1.42
1800420626.9102461,0.32,-0.15,0.86,-55.17,-57.97,-17.75,0.93
1800420627.0057583,0.46,-0.11,0.91,2.15,2.97,31.01,1.03
1800420627.1012707,0.22,-0.1,0.92,36.01,-21.43,6.77,0.95
1800420627.196783,0.34,-0.13,0.86,29.97,1.99,19.5,0.94
1800420627.2922952,0.33,-0.24,0.95,9.79,23.49,2.96,1.03
1800420627.3878076,0.34,-0.11,0.91,-6.2,-20.97,11.67,0.98
