n_estimators,train_accuracy,test_accuracy,train_loss,test_loss
50,0.9950248756218906,0.9770114942528736,0.07838149588784016,0.10751927452032839
100,0.9950248756218906,0.9655172413793104,0.07794026609098922,0.10493919371324496
200,0.9950248756218906,0.9655172413793104,0.07515345032864182,0.10543929141054155
500,0.9950248756218906,0.9655172413793104,0.07945164257090914,0.11060719750332851
1000,0.9950248756218906,0.9655172413793104,0.07880593971709669,0.11071209130582593
1500,0.9950248756218906,0.9655172413793104,0.07910062037005754,0.10997148480521189
2000,0.9950248756218906,0.9655172413793104,0.0781832510940572,0.11029552595919945
