,precision,recall,f1-score,support
normal,1.0,0.9508196721311475,0.9747899159663865,61.0
fall,0.896551724137931,1.0,0.9454545454545454,26.0
accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
macro avg,0.9482758620689655,0.9754098360655737,0.960122230710466,87.0
weighted avg,0.9690844233055885,0.9655172413793104,0.9660230236295145,87.0
