time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780910329.94,0.05,-0.12,0.94,-4.38,-1.98,0.61,0.95
1780910330.14,0.05,-0.11,0.91,-1.44,2.32,-1.07,0.92
1780910330.34,0.07,-0.13,0.92,-1.67,11.08,-6.34,0.93
1780910330.54,0.02,-0.08,0.92,6.85,52.81,-12.18,0.92
1780910330.74,-0.24,-0.08,0.89,5.95,56.63,-1.50,0.92
1780910330.94,-0.37,-0.08,0.85,2.21,37.06,-20.51,0.93
1780910331.14,-0.54,-0.09,0.75,19.73,50.53,-8.40,0.93
1780910331.34,-0.69,-0.01,0.59,0.19,46.53,-4.87,0.91
1780910331.54,-0.81,0.01,0.47,-4.47,25.53,-15.70,0.93
1780910331.74,-0.90,0.06,0.50,5.73,5.24,0.63,1.03
1780910331.95,-0.90,0.03,0.54,7.97,-24.06,-9.22,1.05
1780910332.14,-0.92,-0.02,0.58,-7.56,-39.05,12.69,1.08
1780910332.34,-0.63,-0.04,0.64,-5.58,-51.19,13.15,0.90
1780910332.54,-0.63,-0.13,0.78,-2.25,-60.49,18.27,1.02
1780910332.74,-0.22,-0.04,0.87,-2.73,-65.01,4.80,0.90
1780910332.94,-0.06,-0.04,0.94,-1.39,-71.27,10.59,0.94
1780910333.14,0.08,-0.10,1.00,-17.86,-35.98,7.66,1.00
1780910333.34,0.08,-0.09,0.92,-16.19,8.40,9.72,0.93
1780910333.54,0.15,-0.08,0.93,3.27,-0.22,-2.87,0.94
1780910333.74,0.12,-0.13,0.84,3.77,-0.05,-0.61,0.86
