time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566916.86,0.10,-0.96,0.03,2.35,-16.60,-3.02,0.96
1773566916.95,0.08,-0.96,0.03,-6.86,-27.05,12.50,0.97
1773566917.06,0.02,-1.00,0.02,-3.89,-18.50,9.02,1.00
1773566917.16,0.04,-0.98,0.00,-5.66,-19.77,11.66,0.98
1773566917.27,0.01,-0.98,0.03,-5.83,-16.03,4.46,0.98
1773566917.37,0.02,-0.95,0.03,-1.30,-24.40,6.52,0.95
1773566917.47,0.04,-0.86,0.02,11.50,-29.47,3.13,0.86
1773566917.58,0.04,-0.80,0.03,16.31,-60.60,-5.65,0.80
1773566917.69,-0.04,-0.97,0.15,-25.91,4.92,13.27,0.99
1773566917.78,0.01,-0.98,0.11,12.11,-18.52,17.42,0.99
1773566917.88,-0.06,-0.91,0.10,9.91,-38.75,-2.05,0.92
1773566918.00,-0.07,-0.86,0.07,-0.26,-52.90,-14.50,0.87
1773566918.10,-0.01,-0.77,0.11,-12.29,-36.08,-8.76,0.78
1773566918.20,-0.18,-0.94,0.26,-38.31,-29.27,-11.37,1.00
1773566918.30,0.44,-1.45,0.03,9.69,-136.00,27.59,1.51
1773566918.41,-0.07,-1.31,0.42,149.73,-51.15,-9.05,1.38
1773566918.51,0.28,-0.97,-0.29,-194.41,-79.01,-5.44,1.05
1773566918.61,0.10,-1.13,-0.20,-177.59,81.57,-118.67,1.15
1773566918.71,0.16,-0.80,-0.01,8.95,29.80,-48.12,0.82
1773566918.81,0.26,-0.88,-0.11,1.04,-7.18,-7.99,0.93
1773566918.92,0.22,-0.97,-0.09,-8.08,9.72,-3.85,1.00
1773566919.04,0.25,-0.94,-0.03,6.67,-0.35,-15.97,0.97
1773566919.13,0.26,-0.96,0.01,0.20,-4.72,4.81,1.00
1773566919.23,0.21,-0.96,-0.02,-6.67,-15.50,6.82,0.99
1773566919.34,0.18,-0.96,-0.04,4.96,-14.57,15.21,0.98
