time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566512.69,0.18,0.01,0.94,-34.82,-46.90,-52.29,0.96
1773566512.79,0.43,0.27,1.04,9.13,-26.38,-68.99,1.15
1773566512.89,0.49,0.30,0.73,-53.53,10.05,-85.15,0.93
1773566513.01,0.29,0.20,0.77,-21.31,34.87,-29.25,0.85
1773566513.11,0.28,0.02,0.79,-27.33,-11.19,-98.03,0.84
1773566513.21,0.30,-0.05,0.82,-12.37,-26.55,-23.82,0.88
1773566513.31,0.21,-0.09,0.84,-19.10,-17.41,27.62,0.87
1773566513.41,0.36,0.01,1.16,67.02,36.63,-58.93,1.21
1773566513.52,0.10,0.60,1.10,-69.24,16.88,16.47,1.25
1773566513.62,0.14,0.23,0.74,27.45,-25.62,9.56,0.78
1773566513.72,0.05,0.04,0.65,6.43,-1.68,-8.14,0.66
1773566513.82,0.01,0.19,0.90,-1.25,-53.39,-17.85,0.92
1773566513.92,0.09,-0.09,1.08,-28.15,-23.89,-37.94,1.09
1773566514.02,0.32,0.44,1.29,41.91,-7.47,23.19,1.40
1773566514.12,0.39,0.11,0.82,-57.56,-78.47,-0.43,0.92
1773566514.24,0.16,0.07,0.56,45.59,33.71,96.78,0.59
1773566514.34,0.17,0.09,0.65,-59.71,1.33,-8.72,0.68
1773566514.44,0.39,-0.19,0.99,67.30,-2.09,-20.18,1.08
1773566514.55,0.22,0.01,1.32,18.87,16.92,57.85,1.34
1773566514.64,0.18,1.03,1.19,-144.20,12.84,-61.02,1.59
1773566514.76,0.42,0.01,0.64,50.31,-0.23,-1.12,0.77
1773566514.86,0.09,0.22,0.53,-54.32,-41.01,114.41,0.58
1773566514.97,0.08,-0.17,0.79,-32.66,-23.47,40.63,0.81
1773566515.07,0.25,-0.16,1.35,57.91,-65.42,91.54,1.38
1773566515.16,0.24,0.47,1.08,-146.02,-29.01,63.37,1.20
