time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566773.350571,-0.14,-0.82,0.33,44.99,-61.99,-24.76,0.9
1773566773.3668132,-0.13,-0.83,0.37,17.82,-69.76,30.18,0.92
1773566773.5565846,-0.27,-0.96,0.26,-17.16,-21.6,31.65,1.03
1773566773.588407,-0.3,-0.95,0.22,3.3,6.18,4.66,1.02
1773566773.746559,-0.2,-0.91,0.21,17.04,38.73,-12.7,0.95
1773566773.7814815,-0.21,-0.97,0.31,47.47,33.14,-41.42,1.03
1773566773.9739125,-0.15,-0.85,0.34,53.76,16.11,-49.08,0.92
1773566773.9981196,-0.25,-0.92,0.37,-27.25,-5.19,-22.25,1.02
1773566774.1787546,-0.17,-1.11,0.36,-26.4,92.99,-16.31,1.18
1773566774.204542,-0.21,-0.75,0.33,-21.83,4.75,-89.25,0.84
1773566774.298637,-0.0,-0.7,0.31,-9.11,52.93,-78.66,0.77
1773566774.399238,-0.07,-0.81,0.61,93.69,63.54,-32.35,1.02
1773566774.5136063,0.06,-0.74,0.33,8.79,-1.39,-19.01,0.81
1773566774.6028204,0.09,-0.92,0.3,30.63,-40.81,-5.71,0.97
1773566774.714664,0.01,-1.09,0.63,4.52,-7.25,4.87,1.26
1773566774.8122602,0.11,-0.96,0.38,-48.27,-56.6,-14.11,1.04
1773566774.9152863,-0.21,-0.87,0.55,-42.11,-5.18,-36.52,1.05
1773566775.0337117,0.01,-0.64,0.32,-60.46,-16.2,-47.22,0.72
1773566775.130036,-0.02,-0.81,0.42,51.91,1.76,-47.45,0.91
1773566775.231193,0.15,-0.79,0.29,10.64,-3.1,26.84,0.85
1773566775.3291764,-0.02,-0.96,0.42,10.9,-0.57,64.88,1.05
1773566775.4454632,-0.01,-1.05,0.46,-37.4,-37.41,49.37,1.14
1773566775.5464623,0.03,-1.04,0.42,-35.71,-57.65,33.28,1.13
1773566775.645882,0.04,-0.62,0.42,15.27,-142.86,-3.08,0.75
1773566775.7464125,0.1,-0.69,0.32,-56.05,-26.08,145.91,0.77
