time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1800430020.0,-0.11,-1.01,-0.02,89.53,-73.42,-31.89,1.02
1800430020.1227293,-0.11,-0.87,0.08,6.83,-103.65,9.87,0.88
1800430020.2454588,-0.03,-0.94,-0.06,-20.27,-43.93,-28.96,0.94
1800430020.3681881,-0.13,-1.02,0.02,11.65,-0.62,-35.62,1.03
1800430020.4909177,-0.03,-1.07,-0.08,6.68,40.67,-33.38,1.08
1800430020.613647,-0.13,-0.75,0.0,-36.11,-5.53,6.46,0.76
1800430020.7363765,-0.09,-0.88,-0.04,9.69,57.51,15.4,0.88
1800430020.8591058,0.0,-0.83,0.01,-6.5,-4.88,59.3,0.83
1800430020.9818354,-0.04,-0.81,-0.02,7.57,-21.8,11.53,0.81
1800430021.1045647,-0.07,-1.02,0.04,10.17,-47.84,-17.82,1.02
1800430021.2272942,-0.01,-1.15,0.1,14.8,-61.19,-13.65,1.15
1800430021.3500235,0.04,-0.86,0.08,-6.15,-149.71,29.47,0.87
1800430021.472753,0.02,-0.92,0.11,17.52,-146.38,24.63,0.92
1800430021.5954823,0.03,-0.97,0.14,39.6,-82.7,5.21,0.98
1800430021.718212,0.01,-0.88,0.07,-1.36,-79.59,8.07,0.88
1800430021.8409412,0.0,-0.99,0.03,17.14,-23.15,-21.91,0.99
1800430021.9636705,-0.21,-1.1,0.25,-10.09,-6.9,-34.31,1.15
1800430022.0864,-0.18,-1.02,0.21,-42.78,18.0,-22.45,1.05
1800430022.2091293,-0.16,-0.88,0.16,-29.79,1.7,-22.24,0.91
1800430022.3318589,-0.13,-0.89,0.18,-14.34,22.21,-1.86,0.91
1800430022.4545882,-0.07,-0.84,0.12,8.0,-15.18,-37.6,0.85
1800430022.5773177,-0.05,-0.93,0.02,34.26,-62.33,-61.17,0.93
1800430022.700047,-0.08,-0.96,0.06,-1.25,-222.31,5.81,0.97
1800430022.8227766,-0.08,-0.79,0.15,21.98,-267.7,24.71,0.81
1800430022.9455059,0.0,-0.85,0.04,31.48,-306.55,63.51,0.86
1800430023.0682354,-0.07,-1.2,0.56,96.53,-248.88,62.65,1.33
