time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773567013.2485242,-0.33,-0.86,0.35,-69.89,-26.37,6.76,0.99
1773567013.3416104,-0.18,-0.83,0.3,-15.8,-21.31,8.38,0.9
1773567013.4422865,-0.3,-0.93,0.46,-40.4,17.4,-3.31,1.08
1773567013.5547266,-0.34,-1.01,0.41,-47.19,-32.12,-49.41,1.14
1773567013.657375,-0.14,-1.06,0.43,-32.73,-51.68,-47.85,1.15
1773567013.7593029,0.07,-1.26,0.13,-5.04,10.85,-33.96,1.27
1773567014.6347558,-0.0,-0.9,0.22,33.14,16.96,15.98,0.93
1773567014.7396848,0.01,-0.94,0.25,64.14,24.76,39.39,0.97
1773567014.8486912,-0.07,-0.95,0.34,65.1,21.62,34.2,1.01
1773567014.952232,-0.19,-1.0,0.45,13.13,52.0,-29.16,1.12
1773567015.0546076,-0.25,-1.14,0.56,-31.05,69.72,-27.5,1.3
1773567015.154439,-0.37,-0.83,0.46,-18.64,-27.92,-11.34,1.01
1773567015.2547374,-0.3,-0.96,0.33,34.7,3.07,36.66,1.06
1773567015.3598244,-0.33,-0.96,0.49,38.21,-12.37,13.13,1.12
1773567015.455252,-0.27,-0.9,0.43,16.79,2.99,-41.6,1.03
1773567015.5574996,-0.17,-0.72,0.38,4.6,13.94,-63.15,0.84
1773567015.674965,-0.02,-0.64,0.35,-24.23,-14.46,-39.62,0.73
1773567015.7712407,0.1,-0.73,0.37,-77.04,-32.96,-32.43,0.82
1773567015.875964,0.05,-0.87,0.39,-63.97,-11.53,1.82,0.95
1773567015.9884384,0.07,-0.81,0.28,-43.48,-81.27,5.71,0.86
1773567016.0875497,-0.03,-0.8,0.21,-19.19,-102.84,-15.04,0.83
1773567016.1876626,-0.12,-0.96,0.24,-4.66,-29.56,42.73,0.99
1773567016.288818,-0.23,-0.94,0.17,-20.43,-39.63,23.36,0.99
1773567016.390194,-0.23,-1.03,0.07,3.07,62.14,-16.17,1.06
1773567016.492633,-0.13,-0.91,0.19,17.86,45.18,-30.11,0.94
