time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780908216.76,0.11,-0.58,-0.31,-32.70,104.17,29.53,0.67
1780908216.96,0.13,-0.91,-0.34,-10.46,48.46,9.83,0.98
1780908217.15,0.01,-1.24,-0.44,34.64,-1.18,14.57,1.31
1780908217.37,-0.07,-0.50,-0.40,-13.44,-15.36,26.44,0.64
1780908217.56,0.17,-0.70,-0.27,-3.05,-33.05,-20.64,0.77
1780908217.76,0.11,-1.19,-0.37,9.63,40.50,8.59,1.25
1780908217.96,0.10,-0.53,-0.28,-22.34,33.87,22.48,0.60
1780908218.16,0.23,-0.93,-0.33,-31.92,-3.21,-17.46,1.02
1780908218.35,0.08,-1.36,-0.55,-8.78,-86.95,-59.20,1.47
1780908218.55,0.34,-1.07,-0.61,14.21,-28.78,-29.40,1.28
1780908218.76,0.12,-0.78,-0.19,6.64,14.00,-9.82,0.81
1780908218.95,0.33,-0.85,-0.68,63.26,39.94,3.61,1.14
1780908219.16,-0.04,-0.82,-0.22,-8.04,-7.47,10.95,0.85
1780908219.36,0.15,-1.23,-0.45,5.45,-72.10,-28.98,1.32
1780908219.56,0.08,-1.09,-0.66,-28.97,-87.69,-84.90,1.28
1780908219.76,0.06,-0.83,-0.33,16.47,-18.97,-18.10,0.90
1780908219.96,0.36,-1.01,-0.86,33.98,-57.14,-43.06,1.37
1780908220.16,0.02,-0.61,-0.46,13.22,-179.64,-76.92,0.76
1780908220.36,0.16,-1.59,-0.83,4.02,-161.24,-72.59,1.80
1780908220.56,-0.10,-0.70,-0.49,13.05,-149.89,-67.08,0.86
1780908220.75,0.18,-0.94,-0.65,10.52,-94.02,-71.51,1.16
1780908220.96,0.26,-0.98,-0.30,0.48,9.28,-0.10,1.06
1780908221.16,0.03,-0.84,-0.29,26.10,-38.97,1.09,0.89
1780908221.35,0.06,-1.41,-0.95,20.47,-64.25,-20.56,1.71
1780908221.55,0.10,-0.55,-0.34,-38.56,-46.65,-30.88,0.66
1780908221.76,0.02,-1.09,-0.78,-30.02,25.38,17.84,1.34
1780908221.95,-0.00,-0.83,-0.59,-23.31,23.07,8.09,1.02
1780908222.16,0.10,-0.79,-0.13,7.08,-39.98,7.35,0.81
1780908222.35,-0.21,-0.70,-0.43,0.77,-56.95,9.09,0.85
1780908222.56,0.41,-0.61,-0.31,-9.62,-0.27,-20.24,0.79
1780908222.76,0.64,-1.06,-0.85,38.69,68.56,22.48,1.50
1780908222.96,-0.07,-0.77,-0.24,-22.73,-0.65,7.26,0.81
1780908223.15,0.16,-1.61,-0.84,-18.12,1.44,-35.72,1.82
1780908223.35,0.20,-0.81,-0.54,-0.56,-54.12,-31.16,1.00
1780908223.56,0.07,-0.95,-0.17,12.47,64.99,3.98,0.97
