time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780907148.58,-0.03,-0.98,-0.13,-22.45,47.42,32.93,0.98
1780907148.78,-0.07,-0.92,-0.09,11.70,56.82,45.61,0.92
1780907148.98,-0.20,-0.91,-0.19,-11.76,21.45,6.53,0.95
1780907149.18,-0.15,-0.91,-0.16,-3.60,73.14,2.69,0.94
1780907149.43,-0.31,-0.92,-0.29,31.26,99.58,2.49,1.01
1780907149.58,-0.07,-0.92,-0.42,11.37,59.21,-18.53,1.02
1780907149.78,0.05,-1.01,-0.35,-40.54,23.98,-32.02,1.07
1780907150.03,0.39,-0.89,-0.27,-13.63,15.43,-34.44,1.01
1780907150.18,0.19,-0.89,-0.32,-3.92,26.75,31.99,0.97
1780907150.38,0.10,-0.91,-0.35,2.85,-16.87,6.30,0.98
1780907150.58,0.14,-0.98,-0.22,23.47,-21.15,6.10,1.02
1780907150.78,0.01,-0.97,-0.15,13.63,-17.15,9.73,0.98
1780907150.98,0.14,-0.99,-0.14,48.22,-6.73,-2.37,1.01
1780907151.18,0.14,-0.96,0.01,3.76,-5.44,0.09,0.97
1780907151.38,0.11,-0.89,-0.01,-53.38,-0.76,4.18,0.90
1780907151.58,0.09,-1.00,-0.38,-71.86,4.38,7.44,1.07
1780907151.78,-0.06,-0.88,-0.40,-34.76,-11.97,9.02,0.97
1780907151.98,0.01,-0.81,-0.65,-27.73,-9.28,6.19,1.04
1780907152.18,-0.09,-0.86,-0.99,-10.27,-1.75,-3.95,1.31
1780907152.38,-0.01,-0.79,-0.65,42.59,4.64,-3.57,1.02
1780907152.58,-0.00,-0.88,-0.51,49.79,23.55,-10.92,1.02
1780907152.78,-0.02,-0.90,-0.28,52.73,-0.43,2.07,0.94
1780907152.98,0.02,-0.89,0.06,39.67,0.27,5.03,0.90
1780907153.20,0.02,-0.91,-0.03,19.92,-21.10,5.06,0.91
1780907153.38,0.10,-0.98,-0.10,-17.50,-41.68,-6.19,0.99
1780907153.58,0.23,-0.94,-0.02,-8.80,-18.63,-17.86,0.97
1780907153.78,0.10,-0.98,-0.24,-21.80,43.21,2.14,1.01
1780907153.98,0.04,-0.95,-0.27,-26.13,23.91,8.90,0.99
