time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780908388.89,-0.12,-0.96,-0.42,-7.60,10.79,-23.46,1.06
1780908389.08,-0.37,-0.93,-0.55,26.35,18.74,-5.86,1.14
1780908389.28,-0.31,-0.70,-0.32,-12.12,-9.14,3.70,0.83
1780908389.48,0.11,-0.59,-0.31,17.49,-32.71,-27.39,0.67
1780908389.69,-0.01,-0.94,-0.46,54.42,-14.17,-55.82,1.05
1780908389.88,-0.14,-0.61,-0.49,13.89,-31.15,7.79,0.79
1780908390.08,-0.28,-1.09,-0.30,-73.02,-3.21,37.02,1.17
1780908390.29,-0.23,-0.72,-0.69,85.86,-10.90,-61.61,1.02
1780908390.48,-0.12,-0.71,-0.43,-20.32,-17.60,-5.79,0.84
1780908390.68,0.14,-1.38,-0.51,32.80,7.56,-29.34,1.48
1780908390.88,0.06,-0.80,-0.28,-4.57,-64.31,-41.41,0.85
1780908391.08,0.15,-0.76,-0.13,22.63,-4.55,-22.86,0.78
1780908391.28,-0.72,-0.84,-0.70,-125.50,-118.92,69.17,1.31
1780908391.48,-0.49,-0.51,-0.69,-76.17,-237.55,-115.94,0.99
1780908391.68,0.03,-0.59,-0.53,-39.93,-174.46,-79.27,0.80
1780908391.89,-0.68,-1.01,-0.83,-71.99,-156.87,-53.15,1.48
1780908392.08,-0.12,-0.71,-0.38,-21.80,-42.35,-3.44,0.81
1780908392.29,-0.28,-1.08,-0.39,-9.37,-25.02,-38.05,1.18
1780908392.48,-0.16,-0.48,-0.59,11.21,-62.64,-28.99,0.78
1780908392.68,-0.09,-0.67,-0.33,11.66,-3.21,-20.67,0.75
1780908392.88,0.00,-1.33,-0.63,50.21,-20.33,-36.34,1.47
