time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780907595.20,-0.26,-0.82,0.78,-28.79,19.37,-27.29,1.16
1780907595.39,0.12,-0.72,0.24,-114.70,40.46,8.34,0.77
1780907595.60,0.12,-0.75,0.06,27.79,42.15,1.27,0.76
1780907595.80,0.01,-1.20,0.41,31.95,-28.18,24.98,1.27
1780907596.00,-0.24,-1.08,-0.07,52.34,54.98,-19.80,1.11
1780907596.20,-0.09,-0.72,0.07,16.04,32.60,-8.62,0.73
1780907596.40,-0.03,-1.21,0.51,14.59,26.02,-28.99,1.31
1780907596.60,0.04,-0.84,0.22,34.47,-7.38,50.15,0.87
1780907596.80,-0.18,-0.81,0.28,-15.14,-91.36,-25.73,0.88
1780907597.00,-0.04,-1.27,0.59,-7.83,-110.13,20.24,1.40
1780907597.20,-0.36,-0.74,-0.04,7.40,90.41,-10.16,0.82
1780907597.40,-0.26,-0.97,0.18,2.24,46.45,-20.72,1.02
1780907597.60,-0.20,-0.99,0.30,6.84,4.44,-18.44,1.06
1780907597.80,-0.30,-1.05,-0.34,44.79,-50.59,-9.62,1.15
1780907598.00,-0.33,-1.04,-0.04,-26.39,-238.87,37.05,1.10
1780907598.20,0.10,-0.92,0.10,-66.63,-161.80,44.87,0.93
1780907598.45,-0.50,-1.23,-0.01,90.28,-119.66,49.72,1.33
1780907598.60,-0.14,-0.74,0.36,-182.98,-120.97,-19.92,0.84
1780907598.80,-0.24,-0.89,0.19,3.95,-59.08,-26.72,0.94
1780907599.00,-0.33,-1.47,0.09,59.72,20.89,13.63,1.50
1780907599.20,0.02,-0.78,0.01,-61.33,-124.69,0.49,0.78
1780907599.40,0.10,-0.97,-0.02,-21.88,-169.68,52.02,0.97
1780907599.60,-0.06,-0.91,0.22,18.15,-91.72,15.99,0.94
