time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566732.87,-0.00,-0.77,0.37,22.82,-44.81,27.25,0.85
1773566732.97,-0.14,-0.97,0.26,-30.63,4.55,34.18,1.02
1773566733.07,-0.14,-0.93,0.28,28.85,-17.86,2.53,0.98
1773566733.18,-0.04,-0.86,0.28,22.53,-30.99,29.85,0.91
1773566733.28,-0.13,-0.98,0.37,-3.74,-5.74,5.63,1.05
1773566733.38,-0.19,-0.99,0.46,-35.51,-42.90,-52.43,1.11
1773566733.50,-0.19,-1.13,0.50,-39.76,2.56,-48.72,1.25
1773566733.58,0.13,-0.51,0.35,-24.66,-105.13,-37.56,0.63
1773566733.70,0.08,-0.89,0.37,-4.52,-14.81,63.17,0.97
1773566733.80,0.06,-0.71,0.41,25.95,-76.98,5.14,0.82
1773566733.91,0.12,-0.91,0.28,-0.14,-21.48,51.53,0.96
1773566734.00,-0.03,-1.01,0.58,-29.62,-9.01,15.37,1.17
1773566734.12,-0.07,-1.02,0.43,-72.03,6.82,-10.87,1.11
1773566734.22,-0.31,-0.74,0.42,-18.99,-20.03,-60.95,0.91
1773566734.32,0.05,-0.81,0.19,10.23,5.89,26.46,0.84
1773566734.42,-0.18,-0.76,0.50,58.56,-40.89,-22.84,0.93
1773566734.52,0.00,-0.80,0.22,20.37,6.18,9.74,0.84
1773566734.63,-0.12,-0.95,0.36,12.58,-10.86,-17.42,1.02
1773566734.74,-0.05,-0.91,0.39,-15.40,-33.57,-26.11,1.00
1773566734.83,-0.19,-1.23,0.79,3.60,85.40,57.01,1.47
1773566734.93,0.03,-0.48,0.50,45.31,-133.56,-50.20,0.69
1773566735.03,-0.08,-0.81,0.41,-105.10,26.37,47.42,0.91
1773566735.14,-0.07,-0.82,0.43,29.44,-32.95,6.17,0.93
1773566735.25,0.07,-0.92,0.28,-5.24,15.76,-36.29,0.96
1773566735.35,-0.15,-0.96,0.53,-54.76,35.91,-43.48,1.10
