time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780908707.29,-0.12,-0.96,-0.35,9.76,-2.31,3.23,1.03
1780908707.49,-0.08,-0.78,-0.48,5.17,-0.22,-6.32,0.92
1780908707.69,-0.06,-0.61,-0.65,-79.50,1.06,-3.11,0.89
1780908707.89,-0.04,-0.46,-0.57,-38.15,9.89,9.80,0.73
1780908708.09,0.02,-0.68,-0.67,-15.66,-21.79,-11.98,0.95
1780908708.29,-0.33,-0.86,-1.03,11.85,-27.70,-14.92,1.39
1780908708.49,-0.20,-0.89,-1.23,50.69,-12.61,-20.88,1.53
1780908708.69,-0.01,-0.67,-0.53,110.40,21.37,-28.68,0.85
1780908708.89,-0.17,-0.94,-0.32,7.82,-14.92,-13.69,1.01
1780908709.09,0.01,-0.94,-0.24,8.71,-23.27,-13.05,0.97
1780908709.29,-0.17,-0.95,-0.23,14.68,5.79,13.77,1.00
1780908709.49,-0.06,-0.96,-0.31,-21.55,-4.76,-0.94,1.01
1780908709.69,-0.10,-0.94,-0.33,-14.77,2.54,3.95,1.00
1780908709.88,-0.13,-0.93,-0.38,-10.76,0.44,1.30,1.01
1780908710.08,-0.11,-0.91,-0.44,-19.44,-2.47,1.73,1.02
1780908710.29,-0.12,-0.87,-0.43,-23.11,-4.55,4.82,0.97
1780908710.48,-0.13,-0.85,-0.53,-42.34,10.53,8.02,1.01
1780908710.69,-0.15,-0.79,-0.52,-64.98,27.66,21.35,0.96
1780908710.88,-0.19,-0.53,-1.02,-4.02,-8.92,-21.27,1.17
1780908711.08,-0.19,-0.60,-0.81,-15.31,17.40,9.46,1.03
1780908711.29,-0.29,-0.62,-0.52,-2.85,17.00,-6.39,0.86
1780908711.49,-0.08,-0.47,-0.53,26.82,-14.71,-10.89,0.71
