time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773566753.384159,-0.08,-0.91,0.21,-5.19,-26.46,-8.17,0.93
1773566753.4659078,-0.05,-0.92,0.24,27.62,-40.23,8.98,0.95
1773566753.5651114,-0.04,-0.92,0.31,3.22,-64.44,-1.3,0.97
1773566753.6673765,-0.06,-0.96,0.23,-50.79,-48.96,7.91,0.99
1773566753.7680326,-0.1,-1.0,0.39,-17.76,23.71,-24.21,1.08
1773566753.8813224,0.07,-0.69,0.28,21.39,-62.82,-20.29,0.75
1773566753.984404,0.16,-0.97,0.44,70.7,-26.46,50.56,1.08
1773566754.08439,0.09,-0.7,0.34,-24.32,-74.43,-7.37,0.78
1773566754.182826,0.07,-0.88,0.18,12.23,-13.8,43.59,0.9
1773566754.2808137,0.01,-1.02,0.39,-10.35,-25.62,24.5,1.1
1773566754.383384,-0.04,-1.02,0.28,-43.98,2.38,6.41,1.06
1773566754.4883132,-0.0,-0.93,0.3,-4.26,23.11,-7.56,0.97
1773566754.5987382,-0.41,-0.98,0.57,-59.94,108.78,7.97,1.2
1773566754.6970663,-0.2,-0.73,0.18,-2.4,48.09,-28.06,0.78
1773566754.79841,-0.28,-0.81,0.48,88.15,58.66,-17.99,0.98
1773566754.9063537,-0.06,-0.8,0.2,23.92,27.19,11.46,0.82
1773566755.0055535,-0.28,-0.97,0.39,17.11,-5.24,-13.44,1.08
1773566755.1140945,-0.26,-1.01,0.44,-28.69,-13.86,-19.92,1.13
1773566755.2183888,-0.31,-1.1,0.46,-25.95,74.92,6.82,1.23
1773566755.314078,-0.12,-0.52,0.28,37.42,-24.92,-89.86,0.6
1773566755.4221125,-0.25,-0.96,0.41,-48.05,139.63,-13.63,1.07
1773566755.530856,-0.21,-0.64,0.36,61.45,66.95,-78.52,0.76
1773566755.634066,-0.09,-0.9,0.23,55.18,176.34,-51.63,0.93
1773566755.7344444,-0.17,-0.87,0.51,59.07,182.15,-94.84,1.02
1773566755.834745,-0.22,-0.89,0.47,11.21,197.88,-105.41,1.03
