time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780908801.43,0.18,-0.99,-0.42,-47.11,61.05,-4.66,1.09
1780908801.63,0.21,-1.17,-0.47,-19.72,74.27,2.38,1.28
1780908801.83,0.34,-0.95,-0.39,10.46,86.12,5.32,1.08
1780908802.03,0.25,-0.82,-0.35,14.47,128.95,32.88,0.93
1780908802.23,0.04,-1.02,-0.24,2.02,137.17,41.37,1.05
1780908802.43,-0.07,-0.79,0.02,4.05,116.31,17.76,0.80
1780908802.63,-0.33,-1.25,-0.04,23.79,87.58,-1.11,1.29
1780908802.84,-0.03,-0.83,-0.07,24.57,72.55,-11.14,0.84
1780908803.03,0.03,-1.78,-0.59,-23.62,34.63,-83.19,1.88
1780908803.23,0.09,-0.76,-0.00,-5.62,7.63,-23.61,0.76
1780908803.43,0.01,-1.08,-0.10,51.44,-67.02,32.94,1.08
1780908803.63,-0.29,-1.10,-0.01,0.00,-79.88,0.22,1.13
1780908803.83,0.02,-0.96,0.04,-1.77,-0.11,2.07,0.97
1780908804.04,0.26,-1.44,-0.61,-39.21,79.29,-59.26,1.59
1780908804.23,-0.11,-1.43,-0.03,-12.41,47.40,-10.59,1.43
1780908804.44,-0.16,-1.04,-0.13,8.91,-62.05,11.03,1.06
1780908804.63,0.01,-0.65,-0.66,12.34,-114.26,8.73,0.93
1780908804.83,-0.09,-0.68,-0.18,17.15,-71.40,-0.94,0.71
1780908805.03,0.23,-1.19,-0.12,-7.73,49.25,5.05,1.22
1780908805.23,0.07,-0.78,-0.65,10.08,90.18,-7.65,1.02
1780908805.43,-0.10,-0.87,-0.14,10.26,36.83,4.13,0.89
1780908805.63,-0.23,-1.15,-0.11,4.20,-74.63,7.63,1.18
1780908805.83,0.03,-0.75,-0.32,20.08,-92.22,-7.75,0.82
1780908806.03,0.02,-1.05,-0.32,10.68,-67.93,-35.50,1.09
1780908806.23,0.01,-1.09,-0.13,5.35,11.45,-18.76,1.10
1780908806.43,-0.03,-1.20,-0.08,4.46,115.06,35.29,1.20
1780908806.63,-0.10,-0.63,-0.34,13.16,40.40,-4.68,0.73
