time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780909841.79,-0.05,-0.87,-0.24,39.07,-95.35,-7.76,0.91
1780909841.99,0.53,-1.15,-0.48,-3.83,-117.34,-69.22,1.36
1780909842.19,0.21,-0.92,-0.27,14.23,-60.18,-9.25,0.98
1780909842.40,0.24,-0.76,-0.06,-13.95,-39.82,-17.05,0.79
1780909842.59,0.28,-1.16,-0.77,-6.82,-41.54,39.55,1.42
1780909842.79,0.24,-0.85,-0.24,-49.13,-53.76,-55.50,0.91
1780909842.99,-0.06,-1.04,-0.25,-23.56,13.32,-3.77,1.07
1780909843.19,0.35,-0.92,-0.84,41.66,73.50,58.62,1.29
1780909843.39,0.09,-0.79,-0.28,0.49,-12.69,-28.89,0.84
1780909843.59,0.12,-1.32,-0.20,-0.95,-18.65,9.51,1.34
1780909843.80,0.04,-0.45,-0.20,40.62,-36.24,43.80,0.49
1780909843.99,0.17,-1.07,-0.04,-30.91,-12.53,-13.89,1.08
1780909844.19,0.20,-1.35,-0.28,-0.73,5.45,-39.56,1.40
1780909844.40,0.06,-0.65,-0.36,-17.66,-0.49,14.98,0.74
1780909844.59,0.09,-0.92,-0.30,29.42,-105.95,-27.14,0.97
1780909844.79,0.04,-1.44,-0.94,-43.08,-125.31,-12.69,1.72
1780909844.99,0.13,-0.66,-0.62,44.39,-158.55,-32.18,0.91
1780909845.19,0.16,-1.31,-0.49,-12.18,-136.62,-66.63,1.41
1780909845.39,0.34,-0.59,-0.54,61.40,-70.79,-23.01,0.87
1780909845.59,0.23,-0.77,-0.17,-13.03,-99.14,-58.33,0.83
1780909845.79,0.07,-0.95,-0.10,27.03,-66.08,3.05,0.96
1780909845.99,0.44,-0.67,-0.81,98.95,-22.10,12.14,1.14
