time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780908611.40,-0.01,-0.52,-0.17,9.44,-31.86,-26.64,0.55
1780908611.60,-0.28,-1.06,-1.19,36.16,-20.50,21.86,1.62
1780908611.81,0.17,-0.44,-0.37,-11.82,5.98,-15.38,0.60
1780908612.01,-0.04,-1.11,-1.01,-7.21,50.82,16.81,1.50
1780908612.21,-0.22,-1.07,-0.68,10.85,53.10,67.26,1.29
1780908612.41,-0.04,-0.66,-0.23,-19.50,-17.01,-34.04,0.69
1780908612.60,-0.26,-0.59,-0.11,-10.10,34.88,50.24,0.65
1780908612.81,-0.07,-0.56,-0.42,3.92,94.73,54.84,0.71
1780908613.00,0.09,-1.31,-0.85,-9.92,172.55,108.59,1.57
1780908613.21,-0.02,-0.56,-0.28,-14.06,67.81,27.41,0.62
1780908613.41,-0.09,-1.00,-0.97,36.33,81.86,63.18,1.40
1780908613.60,0.09,-0.51,-0.20,40.12,43.12,0.44,0.56
1780908613.81,0.15,-0.78,-0.55,27.56,145.05,54.62,0.96
1780908614.00,-0.26,-0.89,-0.67,-44.89,97.71,68.43,1.14
1780908614.20,-0.02,-0.64,-0.20,6.46,-15.11,-2.27,0.67
1780908614.41,-0.42,-0.63,-0.64,-31.30,-61.22,-27.62,0.99
1780908614.60,0.05,-0.48,-0.15,-32.75,-57.11,-53.84,0.50
1780908614.81,0.19,-1.37,-1.41,-6.91,19.01,27.83,1.98
1780908615.01,-0.34,-0.93,-0.26,9.27,29.06,25.88,1.02
1780908615.20,-0.10,-0.87,-0.77,-72.20,-70.89,-25.14,1.17
1780908615.40,-0.33,-0.85,-0.16,23.44,-3.01,15.31,0.93
1780908615.61,0.07,-1.02,-0.54,0.62,14.72,-44.36,1.16
1780908615.81,0.04,-1.18,-1.51,-31.23,38.40,19.72,1.92
1780908616.00,-0.17,-0.66,-0.26,-31.72,-61.68,-43.44,0.72
1780908616.21,0.02,-0.97,-0.81,-34.38,-153.82,-75.66,1.26
1780908616.46,-0.07,-1.02,-0.66,8.63,-103.66,-38.10,1.22
1780908616.62,-0.27,-0.82,-0.41,-9.92,-119.86,-52.89,0.96
