time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780910519.10,-0.03,-1.10,-0.23,-12.78,-1.25,4.50,1.13
1780910519.29,0.08,-0.83,-0.55,-32.66,-12.02,-6.42,0.99
1780910519.49,-0.04,-0.91,-0.27,-19.62,-36.99,-10.96,0.95
1780910519.69,-0.03,-1.01,-0.49,3.39,-78.08,-20.91,1.12
1780910519.89,0.03,-0.53,-0.34,-6.47,-85.21,-27.91,0.64
1780910520.09,-0.24,-0.83,-0.17,0.33,-86.50,-33.21,0.88
1780910520.29,-0.00,-0.95,-0.41,-7.69,-51.38,-15.18,1.04
1780910520.49,0.03,-0.63,-0.35,-40.44,-112.42,-37.64,0.72
1780910520.69,0.01,-0.93,-0.41,-16.43,-118.44,-44.65,1.02
1780910520.89,-0.24,-0.99,-0.14,52.63,-143.26,-40.53,1.03
1780910521.09,0.07,-0.88,-0.28,-39.02,-114.40,-36.12,0.93
1780910521.29,-0.15,-1.01,-0.21,-10.05,-59.32,-22.15,1.04
1780910521.50,0.07,-1.07,-0.78,-28.98,23.47,4.10,1.33
1780910521.69,-0.05,-1.07,-0.54,-26.24,2.80,17.14,1.20
1780910521.89,0.01,-1.06,-0.41,14.58,-70.60,-10.47,1.14
1780910522.09,-0.27,-0.80,-0.43,82.11,-27.34,-1.25,0.95
1780910522.29,-0.23,-0.80,-0.30,21.95,-17.44,-1.90,0.89
1780910522.49,-0.03,-1.10,-0.43,26.82,21.98,-9.37,1.18
1780910522.69,-0.04,-0.51,-0.35,1.74,50.05,4.68,0.62
1780910522.89,-0.00,-0.87,-0.34,-17.94,-7.54,11.93,0.93
