file,rows,start_time,end_time,duration_seconds,max_total_a,max_abs_gyro
normal_001.csv,25,1773565951.910339,1773565954.345927,2.4355878829956055,2.02,157.74
normal_002.csv,17,1773565954.4540043,1773565956.10039,1.646385669708252,2.05,164.35
normal_003.csv,24,1773565959.4411535,1773565961.8240888,2.3829352855682373,1.68,158.89
normal_004.csv,25,1773565964.6946766,1773565967.1938183,2.4991416931152344,1.68,187.3
normal_005.csv,25,1773565970.0630994,1773565972.5295222,2.4664227962493896,2.11,281.53
normal_006.csv,25,1773565975.7507734,1773565978.2550068,2.5042333602905273,1.9,206.18
normal_007.csv,25,1773565980.8930526,1773565983.3765297,2.4834771156311035,1.61,268.93
normal_008.csv,25,1773565985.7037952,1773565988.16171,2.4579148292541504,1.71,264.58
normal_009.csv,23,1773565990.4172387,1773565992.651569,2.234330177307129,1.52,192.41
normal_010.csv,25,1773565996.2546904,1773565998.7253373,2.470646858215332,1.79,200.05
normal_011.csv,25,1773566000.624333,1773566003.0944884,2.4701554775238037,1.76,279.37
normal_012.csv,25,1773566005.206638,1773566007.6917086,2.4850704669952393,1.67,272.63
normal_013.csv,22,1773566010.0772254,1773566012.169714,2.0924885272979736,1.68,214.06
normal_014.csv,25,1773566014.1516438,1773566016.636872,2.4852283000946045,1.85,273.3
normal_015.csv,25,1773566022.2954004,1773566024.784655,2.4892547130584717,2.3,489.97
normal_016.csv,25,1773566026.5744758,1773566029.055872,2.481396198272705,2.15,510.57
normal_017.csv,18,1773566030.483569,1773566032.227303,1.7437341213226318,2.18,460.92
normal_018.csv,20,1773566033.8486917,1773566035.8048012,1.9561095237731934,2.25,394.46
normal_019.csv,25,1773566038.6620853,1773566041.141807,2.479721784591675,2.32,443.82
normal_020.csv,19,1773566042.5395627,1773566044.404192,1.8646292686462402,2.49,510.57
normal_021.csv,24,1773566046.2582252,1773566048.6404622,2.382236957550049,2.31,445.51
normal_022.csv,25,1773566050.722397,1773566053.1078677,2.3854706287384033,1.58,234.41
normal_023.csv,24,1773566056.7652164,1773566059.0893238,2.3241074085235596,2.19,470.85
normal_024.csv,21,1773566060.464389,1773566062.5289457,2.06455659866333,2.26,510.41
normal_025.csv,25,1773566064.1320782,1773566066.6168227,2.4847445487976074,2.24,383.14
normal_026.csv,16,1773566068.4706163,1773566070.0318418,1.561225414276123,2.28,352.78
normal_027.csv,18,1773566082.5095122,1773566084.2647,1.755187749862671,1.38,502.2
normal_028.csv,24,1773566089.2896378,1773566091.6643386,2.3747007846832275,1.42,322.53
normal_029.csv,23,1773566094.660184,1773566096.8639731,2.203789234161377,1.38,158.99
normal_030.csv,19,1773566099.4716334,1773566101.2737164,1.8020830154418945,1.46,440.6
normal_031.csv,18,1773566104.718673,1773566106.470447,1.7517740726470947,1.51,207.65
normal_032.csv,23,1773566120.6998937,1773566122.9719489,2.272055149078369,1.45,209.97
normal_033.csv,23,1773566124.458457,1773566126.6948335,2.2363765239715576,1.68,462.79
normal_034.csv,25,1773566128.34856,1773566130.796266,2.4477059841156006,1.4,324.9
normal_035.csv,24,1773566133.0160413,1773566135.3927162,2.3766748905181885,1.44,236.82
normal_036.csv,25,1773566137.4140246,1773566139.8943884,2.4803638458251953,1.84,291.45
normal_037.csv,16,1773566144.7838504,1773566146.3486843,1.5648338794708252,1.52,170.55
normal_038.csv,19,1773566147.5136404,1773566149.3787518,1.8651113510131836,1.46,194.92
normal_039.csv,22,1773566155.152652,1773566157.3256714,2.1730194091796875,1.23,318.72
normal_040.csv,18,1773566162.1851137,1773566163.9419465,1.7568328380584717,1.04,123.48
normal_041.csv,25,1773566203.9163344,1773566206.3869855,2.470651149749756,1.2,85.76
normal_042.csv,25,1773566209.1507936,1773566211.618626,2.467832565307617,1.27,159.75
normal_043.csv,25,1773566214.6695054,1773566217.1364598,2.466954469680786,1.26,89.36
normal_044.csv,23,1773566217.2522354,1773566219.523445,2.271209478378296,1.22,82.41
normal_045.csv,25,1773566224.4915926,1773566226.9173672,2.425774574279785,1.19,193.75
normal_046.csv,25,1773566227.0346804,1773566229.5029712,2.4682908058166504,1.34,103.45
normal_047.csv,25,1773566230.8576665,1773566233.3198607,2.4621942043304443,1.24,107.85
normal_048.csv,20,1773566233.4336908,1773566235.3866367,1.9529459476470947,1.21,76.26
normal_049.csv,25,1773566238.116932,1773566240.5331707,2.416238784790039,1.27,101.01
normal_050.csv,17,1773566240.6335263,1773566242.2993405,1.6658141613006592,1.28,114.92
normal_051.csv,25,1773566243.6530342,1773566246.1350963,2.4820621013641357,1.21,140.92
normal_052.csv,25,1773566248.9310527,1773566251.4183347,2.4872820377349854,1.34,188.44
normal_053.csv,25,1773566251.5159595,1773566253.9997883,2.4838287830352783,1.38,128.76
normal_054.csv,25,1773566263.9228067,1773566266.3694692,2.446662425994873,1.34,142.0
normal_055.csv,15,1773566266.4673643,1773566267.9158282,1.4484639167785645,1.26,89.79
normal_056.csv,25,1773566295.055581,1773566297.5277138,2.472132682800293,1.14,66.63
normal_057.csv,23,1773566297.6317952,1773566299.9027717,2.2709765434265137,1.49,76.61
normal_058.csv,25,1773566302.007261,1773566304.476615,2.4693539142608643,1.31,75.63
normal_059.csv,19,1773566304.579398,1773566306.44256,1.8631620407104492,1.36,130.93
normal_060.csv,25,1773566308.2571795,1773566310.7283945,2.471215009689331,1.35,103.27
normal_061.csv,20,1773566310.826965,1773566312.7907448,1.9637796878814697,1.36,57.12
normal_062.csv,25,1773566314.306189,1773566316.6279476,2.321758508682251,1.32,132.67
normal_063.csv,17,1773566316.74152,1773566318.3937173,1.6521973609924316,1.3,83.3
normal_064.csv,18,1773566322.524197,1773566324.2925951,1.7683980464935303,2.57,307.3
normal_065.csv,25,1773566327.2966044,1773566329.7769408,2.4803364276885986,2.61,278.31
normal_066.csv,25,1773566331.910774,1773566334.4019876,2.49121356010437,2.22,232.96
normal_067.csv,25,1773566337.4360502,1773566339.8095944,2.373544216156006,1.11,223.53
normal_068.csv,22,1773566342.4776435,1773566344.639026,2.1613824367523193,1.35,108.15
normal_069.csv,25,1773566347.3934395,1773566349.8744338,2.48099422454834,1.34,117.91
normal_070.csv,25,1773566353.8195362,1773566356.2905302,2.470993995666504,2.1,133.51
normal_071.csv,24,1773566358.9598043,1773566361.3371823,2.377377986907959,1.55,150.44
normal_072.csv,25,1773566363.4455457,1773566365.8252945,2.379748821258545,2.17,153.71
normal_073.csv,25,1773566369.1901972,1773566371.585184,2.394986867904663,2.01,208.46
normal_074.csv,25,1773566512.6854448,1773566515.158419,2.4729740619659424,1.59,146.02
normal_075.csv,25,1773566521.7541864,1773566524.189769,2.4355826377868652,1.49,154.78
normal_076.csv,25,1773566530.1596613,1773566532.62212,2.462458610534668,1.36,133.86
normal_077.csv,25,1773566534.666278,1773566537.044245,2.377967119216919,1.51,91.62
normal_078.csv,25,1773566538.4022207,1773566540.9048033,2.502582550048828,1.5,98.96
normal_079.csv,25,1773566543.0514588,1773566545.534393,2.4829342365264893,1.44,120.37
normal_080.csv,25,1773566545.6350317,1773566548.9022985,3.2672667503356934,1.75,116.15
normal_081.csv,25,1773566550.324751,1773566552.790263,2.4655120372772217,1.85,133.47
normal_082.csv,20,1773566617.194476,1773566619.1188374,1.9243614673614502,2.24,489.97
normal_083.csv,25,1773566621.8059962,1773566624.2617867,2.4557905197143555,2.1,268.23
normal_084.csv,25,1773566629.2258046,1773566631.841977,2.6161723136901855,1.79,143.65
normal_085.csv,25,1773566633.017948,1773566635.4931638,2.4752159118652344,1.66,143.15
normal_086.csv,23,1773566637.8849423,1773566640.0114503,2.1265079975128174,2.41,510.57
normal_087.csv,25,1773566644.119661,1773566646.5733633,2.453702211380005,1.91,253.22
normal_088.csv,25,1773566648.245845,1773566650.7258952,2.4800500869750977,1.84,366.21
normal_089.csv,25,1773566652.6604629,1773566655.126896,2.466433048248291,2.85,466.08
normal_090.csv,25,1773566657.2383971,1773566659.6535256,2.415128469467163,1.49,265.66
normal_091.csv,25,1773566662.1434486,1773566664.5940576,2.450608968734741,1.46,130.34
normal_092.csv,25,1773566666.6466856,1773566669.0546994,2.4080138206481934,1.72,194.09
normal_093.csv,25,1773566671.366001,1773566673.839368,2.473367214202881,1.54,186.15
normal_094.csv,25,1773566674.74115,1773566677.9579527,3.2168028354644775,1.73,151.63
normal_095.csv,25,1773566678.0556426,1773566681.2074125,3.1517698764801025,1.56,169.74
normal_096.csv,25,1773566681.3080094,1773566684.6241226,3.316113233566284,1.81,221.51
normal_097.csv,16,1773566684.7197318,1773566686.2703123,1.5505805015563965,1.65,163.76
normal_098.csv,25,1773566687.3432364,1773566690.4373796,3.0941431522369385,1.77,198.81
normal_099.csv,25,1773566690.5383744,1773566693.0224683,2.4840939044952393,1.88,162.75
normal_100.csv,25,1773566728.3877835,1773566730.8673036,2.479520082473755,1.3,147.31
normal_101.csv,25,1773566732.865816,1773566735.3521986,2.486382484436035,1.47,133.56
normal_102.csv,25,1773566737.415683,1773566739.869622,2.4539389610290527,1.23,206.79
normal_103.csv,25,1773566742.1151478,1773566744.5235617,2.408413887023926,1.3,164.99
