time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1800430555.0,0.23,-0.03,1.12,-22.34,-34.54,36.42,1.14
1800430555.0976114,0.33,0.16,1.29,57.01,-49.53,-12.58,1.34
1800430555.1952229,0.32,0.31,1.03,-5.76,-26.59,52.13,1.12
1800430555.2928343,0.36,0.01,0.78,14.46,-24.59,-1.65,0.85
1800430555.390446,0.2,-0.02,0.84,18.08,-11.27,-10.87,0.86
1800430555.4880574,0.25,-0.02,0.98,13.2,-2.9,-29.7,1.01
1800430555.5856688,0.28,-0.13,1.01,-2.9,2.92,10.81,1.05
1800430555.6832802,0.27,-0.16,1.07,12.52,2.2,35.34,1.12
1800430555.7808917,0.38,0.11,1.14,-6.05,-0.48,26.79,1.21
1800430555.878503,0.24,0.14,1.05,-28.07,-13.36,-5.99,1.09
1800430555.9761145,0.21,0.01,0.87,-27.56,-25.1,-0.17,0.9
1800430556.073726,0.2,-0.02,0.87,-18.39,-27.63,5.9,0.9
1800430556.1713376,0.15,-0.05,0.94,-14.55,-38.22,-18.07,0.95
1800430556.268949,0.16,-0.06,1.08,7.58,-29.6,-18.51,1.1
1800430556.3665605,0.23,0.02,1.14,13.03,-30.36,0.59,1.16
1800430556.464172,0.38,0.07,1.17,16.85,-12.45,0.27,1.23
1800430556.5617833,0.42,0.1,0.95,-38.06,-15.31,57.59,1.04
1800430556.6593947,0.33,0.0,0.82,-6.55,-17.23,-21.19,0.89
1800430556.7570062,0.25,-0.01,0.89,-26.94,-13.07,-10.73,0.92
1800430556.8546176,0.32,-0.05,1.0,-44.67,-14.21,-27.86,1.06
1800430556.9522293,0.32,-0.05,0.88,-31.52,-18.28,38.07,0.93
