time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780909910.49,0.45,-1.01,-0.86,-37.11,38.17,88.38,1.40
1780909910.69,0.40,-0.50,-0.55,-23.04,148.73,67.47,0.84
1780909910.89,0.16,-0.94,-0.64,-48.01,250.13,72.72,1.15
1780909911.09,-0.03,-0.56,-0.25,-2.97,107.66,83.11,0.61
1780909911.29,0.19,-0.86,-0.65,6.24,73.41,8.51,1.10
1780909911.49,0.03,-0.89,-0.19,46.79,67.98,27.51,0.91
1780909911.69,0.29,-0.57,-0.70,38.51,99.82,6.17,0.95
1780909911.89,-0.19,-0.97,-0.35,33.03,90.24,67.98,1.04
1780909912.09,0.17,-0.63,-0.62,57.73,34.93,25.19,0.90
1780909912.29,0.19,-0.73,-0.37,-10.93,-60.15,-30.21,0.84
1780909912.49,0.06,-0.66,-0.42,28.37,20.56,2.27,0.79
1780909912.69,-0.10,-0.94,-0.20,1.31,39.21,57.71,0.96
1780909912.89,0.23,-0.69,-0.44,63.78,-35.08,-48.53,0.85
1780909913.09,0.20,-0.99,-0.43,43.86,-116.34,-20.42,1.09
1780909913.29,-0.17,-0.61,-0.35,36.31,-85.34,-54.66,0.72
1780909913.54,-0.00,-1.38,-0.30,27.95,-111.50,25.18,1.41
1780909913.69,0.07,-0.32,-0.73,48.33,-203.99,-50.00,0.80
1780909913.89,0.59,-1.36,-0.93,79.40,-100.34,-53.53,1.75
1780909914.09,-0.00,-0.73,-0.52,67.46,-84.70,-37.20,0.90
1780909914.29,0.41,-1.61,-0.52,30.35,38.83,4.47,1.74
1780909914.49,-0.02,-0.50,-0.24,13.01,-32.68,-12.65,0.56
1780909914.69,-0.02,-1.71,-0.39,-79.16,-101.51,6.44,1.76
