time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1780910309.44,0.02,-0.10,1.04,-9.79,1.40,-3.46,1.04
1780910309.69,0.16,-0.13,0.88,-0.21,2.21,-4.42,0.91
1780910309.84,0.05,-0.09,0.95,-8.21,8.71,-1.34,0.96
1780910310.04,0.08,-0.11,0.95,-8.68,8.52,-6.85,0.96
1780910310.24,0.01,-0.14,0.92,-8.34,9.86,-3.14,0.93
1780910310.44,0.00,-0.19,0.88,-10.08,36.78,3.79,0.90
1780910310.64,0.05,-0.11,0.97,7.49,55.50,-6.82,0.98
1780910310.84,-0.62,-0.24,0.84,6.71,73.96,12.14,1.07
1780910311.04,-0.70,0.03,0.79,10.60,29.00,-4.00,1.06
1780910311.24,-0.66,-0.09,0.60,9.03,17.14,-15.11,0.89
1780910311.44,-0.69,-0.04,0.50,-28.06,67.93,-15.90,0.85
1780910311.64,-1.09,-0.14,0.42,14.10,-3.71,-1.46,1.18
1780910311.84,-0.84,-0.10,0.52,1.16,-40.25,1.91,1.00
1780910312.04,-0.59,-0.25,0.62,4.61,-77.95,-12.44,0.89
1780910312.24,-0.58,-0.21,0.71,-33.87,-14.37,64.06,0.94
1780910312.44,-0.50,-0.17,0.73,-2.17,-34.44,16.08,0.90
1780910312.64,-0.30,-0.15,0.84,2.27,-52.30,4.99,0.90
1780910312.84,-0.20,-0.16,0.83,3.34,-60.27,0.24,0.87
1780910313.04,0.03,-0.13,0.88,-5.56,-49.76,7.30,0.89
1780910313.24,0.14,-0.07,0.97,8.50,-19.53,-1.11,0.98
