time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773567125.81,0.06,-1.37,0.08,-35.15,50.26,-40.58,1.37
1773567125.92,-0.01,-0.81,0.27,130.58,-29.21,-31.54,0.85
1773567126.02,-0.04,-0.97,0.21,-127.47,48.70,-81.36,0.99
1773567126.13,-0.04,-0.88,0.35,48.20,19.05,-74.46,0.95
1773567126.24,0.02,-0.84,0.29,-62.14,4.27,-31.45,0.89
1773567127.12,-0.11,-0.94,0.19,55.89,-35.83,50.12,0.97
1773567127.23,-0.08,-0.95,0.27,-5.45,-29.19,45.45,1.00
1773567127.33,-0.27,-1.05,0.35,-7.01,7.77,14.11,1.14
1773567127.43,-0.55,-0.98,0.43,37.82,3.63,51.75,1.21
1773567127.53,-0.60,-0.90,0.57,69.95,-93.94,36.11,1.22
1773567127.64,-0.39,-0.81,0.36,14.60,-103.77,-21.50,0.97
1773567127.74,-0.56,-0.87,0.50,21.92,-16.66,2.58,1.15
1773567127.84,-0.35,-0.84,0.42,-20.55,-6.84,-80.09,1.00
1773567127.94,-0.20,-0.60,0.32,-23.47,21.11,-73.19,0.71
1773567128.05,-0.04,-0.57,0.28,-40.81,-23.18,-88.81,0.64
1773567128.16,-0.06,-0.88,0.32,-43.62,52.29,-46.86,0.93
1773567128.26,-0.06,-0.89,0.40,-23.95,50.85,-39.08,0.98
1773567128.36,0.06,-0.89,0.36,-33.54,30.92,-77.85,0.97
1773567128.47,-0.00,-0.73,0.26,5.62,-55.51,-29.94,0.78
1773567128.56,-0.15,-0.96,0.17,-38.92,12.12,36.06,0.99
1773567128.67,-0.30,-0.96,0.18,21.22,-31.04,5.07,1.02
1773567128.76,-0.13,-0.98,0.10,-8.08,28.26,-0.34,0.99
1773567128.88,-0.09,-0.94,0.14,-18.98,28.44,1.57,0.95
1773567128.98,-0.10,-0.97,0.15,15.36,-12.72,-29.57,0.99
1773567129.08,0.05,-0.94,0.23,24.23,-74.26,-47.28,0.97
