rows,duration,AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_median,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,Total_A_median,A_peak,A_mean,A_std,A_range,A_min,A_peak_index_ratio,gyro_abs_peak,gyro_abs_mean,accel_abs_peak,accel_abs_mean,AccelX_first,AccelX_last,AccelX_delta,AccelY_first,AccelY_last,AccelY_delta,AccelZ_first,AccelZ_last,AccelZ_delta,GyroX_first,GyroX_last,GyroX_delta,GyroY_first,GyroY_last,GyroY_delta,GyroZ_first,GyroZ_last,GyroZ_delta,source_file,label,label_name
20,1.9600000381469727,-0.5650000000000001,0.4436273922537863,-0.01,-1.66,1.65,-0.435,0.43949999999999995,0.5111439698311394,1.01,-0.73,1.74,0.58,-0.1085,0.3305860028240123,0.5,-0.63,1.13,0.0,1.324500000000002,119.02270369334448,337.4,-164.26,501.65999999999997,-16.69,31.162,80.20824190489206,240.49,-108.63,349.12,23.64,-60.3635,98.63699745051362,296.81,-184.99,481.8,-71.245,1.0050000000000001,0.23403778372418055,1.67,0.64,1.0299999999999998,1.005,1.67,1.0050000000000001,0.23403778372418055,1.0299999999999998,0.64,0.631578947368421,337.4,122.1455,1.66,0.8999999999999998,-0.16,-0.9,-0.74,1.01,-0.06,-1.07,0.02,-0.63,-0.65,-5.24,29.95,35.19,-20.21,-20.43,-0.21999999999999886,-12.43,-3.41,9.02,fall_017.csv,1,fall
25,2.3899998664855957,0.514,0.5328226721902888,1.39,-0.18,1.5699999999999998,0.73,0.4132,0.6370813658133996,2.0,-1.41,3.41,0.34,-0.1384,0.44912581756118186,1.04,-1.04,2.08,-0.13,13.251600000000002,119.4875552334496,386.0,-87.5,473.5,-4.41,-68.15320000000001,123.45492621195802,195.08,-297.04,492.12,-39.3,59.9016,117.09937754887228,417.25,-107.82,525.0699999999999,36.03,1.0839999999999999,0.3751888413408196,2.41,0.6,1.81,1.01,2.41,1.0839999999999999,0.3751888413408196,1.81,0.6,0.4166666666666667,417.25,142.34480000000002,2.0,0.9684,-0.07,1.0,1.07,1.02,-0.08,-1.1,-0.09,-0.33,-0.24000000000000002,-15.05,-28.02,-12.969999999999999,-5.73,-29.76,-24.03,-5.54,18.29,23.83,fall_020.csv,1,fall
25,2.390000104904175,0.298,0.4551831133364535,1.23,-0.5,1.73,0.41,0.7972,0.422024090939526,2.0,-0.13,2.13,0.88,-0.03919999999999999,0.574890714252138,1.12,-1.88,3.0,-0.03,-1.2524000000000017,156.06638481428345,446.17,-210.14,656.31,-54.37,-39.017199999999995,107.48899658879817,232.78,-247.42,480.2,-21.3,-13.935200000000002,135.16783441090314,418.27,-226.89,645.16,-20.26,1.11,0.4306197084822446,2.84,0.56,2.28,0.99,2.84,1.11,0.4306197084822446,2.28,0.56,0.5,446.17,166.9752,2.0,0.9295999999999998,-0.12,0.52,0.64,0.96,1.15,0.18999999999999995,0.07,0.39,0.32,-30.47,-101.36,-70.89,-10.32,17.94,28.26,14.38,24.59,10.209999999999999,fall_021.csv,1,fall
25,2.4600000381469727,-0.48200000000000004,0.6041109169680681,0.16,-2.0,2.16,-0.22,-0.7971999999999998,0.35331194903842883,-0.31,-2.0,1.69,-0.89,0.11280000000000001,0.4263656490228389,2.0,-0.45,2.45,0.04,17.5784,116.67191263253265,498.63,-157.15,655.78,-3.4,14.4276,99.89914031495299,238.79,-325.83,564.62,3.45,25.6928,91.02209322100505,206.75,-157.54,364.28999999999996,39.94,1.0972000000000002,0.5784715492859899,3.46,0.38,3.08,0.96,3.46,1.0972000000000002,0.5784715492859899,3.08,0.38,0.625,498.63,112.70919999999998,2.0,0.9531999999999999,0.08,-0.63,-0.71,-0.95,-0.66,0.2899999999999999,0.04,0.16,0.12,22.21,-34.11,-56.32,-3.95,-16.38,-12.43,-20.72,-64.99,-44.269999999999996,fall_022.csv,1,fall
25,2.43999981880188,-0.4808,0.5576507270087016,0.14,-1.61,1.75,-0.15,-0.5952,0.41016378842278767,0.21,-1.02,1.23,-0.77,-0.05279999999999999,0.25092362715907535,0.72,-0.54,1.26,0.0,14.6984,104.05306669675815,454.67,-122.11,576.78,-2.5,7.900400000000001,75.91335348496557,209.77,-128.57,338.34000000000003,-4.58,48.494400000000006,103.65797280318898,439.16,-65.48,504.64000000000004,20.43,1.0191999999999999,0.26919509653780843,1.64,0.47,1.17,0.97,1.64,1.0191999999999999,0.26919509653780843,1.17,0.47,0.6666666666666666,454.67,102.51640000000002,1.61,0.9552,0.1,-1.03,-1.1300000000000001,-0.93,-0.5,0.43000000000000005,0.07,-0.13,-0.2,-30.99,5.01,36.0,-18.2,-29.73,-11.530000000000001,3.02,-65.48,-68.5,fall_023.csv,1,fall
24,2.3499999046325684,-0.43333333333333335,0.513434019863919,0.4,-1.63,2.03,-0.155,-0.60375,0.41869167342007696,0.3,-1.44,1.74,-0.56,-0.18333333333333335,0.32538494482511104,0.27,-1.2,1.47,-0.025,-0.9908333333333358,102.32249210500939,308.4,-273.71,582.1099999999999,-10.205,4.028749999999998,104.02155175156899,426.56,-143.16,569.72,-4.51,54.16708333333333,134.41909496467824,441.71,-141.31,583.02,37.0,1.0258333333333334,0.24373750432482227,1.65,0.46,1.19,0.995,1.65,1.0258333333333334,0.24373750432482227,1.19,0.46,0.6086956521739131,441.71,105.89291666666668,1.63,0.9529166666666665,0.05,-0.9,-0.9500000000000001,-0.92,-0.41,0.51,-0.0,-0.3,-0.3,-25.05,4.35,29.4,-15.83,2.35,18.18,4.23,3.85,-0.38000000000000034,fall_024.csv,1,fall
25,2.4800000190734863,-0.42,0.5961962764056817,0.91,-2.0,2.91,-0.17,-0.7308000000000001,0.36505616006307856,-0.21,-2.0,1.79,-0.69,-0.1492,0.2119929244102265,0.17,-0.7,0.87,-0.03,-1.1215999999999997,120.30590625844879,498.63,-209.5,708.13,-14.82,35.546800000000005,100.52806804237974,417.51,-64.67,482.18,6.53,42.3652,77.49324062566146,256.79,-105.68,362.47,45.3,1.0556,0.36890694400259433,2.26,0.53,1.7299999999999998,0.99,2.26,1.0556,0.36890694400259433,1.7299999999999998,0.53,0.5,498.63,93.6764,2.0,0.9568000000000001,0.15,-0.85,-1.0,-0.95,-0.57,0.38,0.04,-0.32,-0.36,-8.32,-51.66,-43.339999999999996,13.68,-21.68,-35.36,-9.89,-14.96,-5.07,fall_025.csv,1,fall
25,2.4600000381469727,-0.4824,0.5982076005312315,0.11,-2.0,2.11,-0.19,-0.7415999999999999,0.28804918561477194,-0.18,-1.1,0.9200000000000002,-0.88,-0.0416,0.23957740572377298,0.14,-1.0,1.1400000000000001,0.03,10.788,112.8831898837614,498.63,-98.32,596.95,-7.94,1.5023999999999988,95.33069745540172,85.1,-431.92,517.02,10.29,32.604000000000006,85.49545041501722,212.87,-147.02,359.89,30.27,1.0604,0.37991753491163494,2.18,0.48,1.7000000000000002,0.98,2.18,1.0604,0.37991753491163494,1.7000000000000002,0.48,0.7083333333333334,498.63,89.8452,2.0,0.9808,0.11,-0.92,-1.03,-0.94,-0.6,0.33999999999999997,0.13,-0.07,-0.2,-2.5,96.5,99.0,-10.66,46.03,56.69,-14.26,-101.08,-86.82,fall_026.csv,1,fall
24,2.3299999237060547,-0.43875,0.3859073159733294,0.01,-1.31,1.32,-0.26,-0.6745833333333334,0.292515018814221,0.19,-1.08,1.27,-0.765,0.11958333333333333,0.33476116296829306,0.77,-0.55,1.32,0.215,-15.500416666666672,155.3046862441184,498.63,-362.67,861.3,-30.060000000000002,22.78708333333334,126.1710224941137,379.56,-299.71,679.27,3.6050000000000004,33.6875,76.6781628258517,218.93,-198.49,417.42,28.130000000000003,0.9691666666666667,0.23496376532242744,1.54,0.51,1.03,0.95,1.54,0.9691666666666667,0.23496376532242744,1.03,0.51,0.6521739130434783,498.63,114.81625000000001,1.31,0.8283333333333333,0.01,-0.73,-0.74,-0.88,-0.56,0.31999999999999995,0.35,-0.06,-0.41,-17.91,31.19,49.1,5.07,-6.93,-12.0,14.75,-10.46,-25.21,fall_027.csv,1,fall
25,2.4800000190734863,-0.4604,0.5788456904334119,0.09,-2.0,2.09,-0.16,-0.6572,0.29855931850583173,0.18,-0.93,1.11,-0.77,0.017600000000000008,0.44926124545376345,0.87,-1.17,2.04,0.22,-14.956400000000004,73.25843073667357,136.18,-253.83,390.01,-9.24,26.263999999999996,76.29456386270256,260.67,-73.5,334.17,14.92,38.93879999999999,73.16284868474345,270.4,-152.93,423.33,26.53,1.052,0.3804164384811291,2.27,0.38,1.8900000000000001,0.96,2.27,1.052,0.3804164384811291,1.8900000000000001,0.38,0.625,270.4,78.5192,2.0,0.926,-0.06,-0.85,-0.79,-0.92,-0.58,0.3400000000000001,0.42,-0.26,-0.6799999999999999,-7.65,27.95,35.6,4.14,-49.19,-53.33,21.31,16.35,-4.959999999999997,fall_028.csv,1,fall
25,2.490000009536743,-0.5956,0.591657840309752,0.11,-2.0,2.11,-0.76,-0.6524,0.41454070970171314,0.23,-2.0,2.23,-0.6,0.0924,0.287377220159613,1.01,-0.42,1.43,0.11,-18.910399999999996,49.07959347495318,78.7,-154.53,233.23000000000002,-24.27,25.468400000000003,123.14022936879728,166.58,-510.57,677.15,23.6,24.0284,81.63968901418802,209.89,-121.22,331.11,22.34,1.0828,0.4465751149956,2.53,0.45,2.0799999999999996,0.98,2.53,1.0828,0.4465751149956,2.0799999999999996,0.45,0.5416666666666666,510.57,100.9032,2.0,0.9764000000000002,0.05,-0.82,-0.87,-0.86,-0.49,0.37,0.41,-0.42,-0.83,0.02,-56.21,-56.230000000000004,-7.86,25.08,32.94,18.43,-46.31,-64.74000000000001,fall_029.csv,1,fall
