0,0,0,0,0,0,0,0
1780822982.05038,0.28,-0.9368,-0.1157,-8.542,10.2901,-3.1527,0.9846
1780822982.248616,0.2791,-0.9651,-0.1775,0.3511,-8.1603,3.7405,1.0202
1780822982.4491794,0.2917,-0.9177,-0.2307,-15.0382,-19.0611,1.8168,0.9902
1780822982.6494405,0.3015,-0.9241,-0.1763,-6.1145,-17.2519,13.2061,0.9879
1780822982.8486624,0.1748,-0.7187,-0.25,1.0,-43.2366,10.4122,0.7808
1780822983.0488727,0.1809,-0.7136,-0.3394,-8.1985,-71.771,1.626,0.8106
1780822983.2494473,0.1746,-0.8389,-0.4424,38.9847,-82.458,0.6031,0.9643
1780822983.4486668,-0.4578,-1.5488,-1.0574,89.0763,-160.855,-20.0305,1.9304
1780822983.6492743,1.1895,1.9999,-1.4712,-31.7252,-250.1374,-223.9771,2.753
1780822983.8491437,-0.8665,0.082,1.009,-79.6794,57.5267,-25.3282,1.3325
1780822984.0486922,-0.2822,-0.3374,0.7317,-186.8702,12.855,56.4504,0.8537
1780822984.2490819,-0.4624,-0.4668,0.6389,73.8702,15.3053,-1.7557,0.9165
1780822984.4493458,-0.3623,-0.3845,0.7192,28.1298,5.5191,-15.5725,0.8924
1780822984.6495636,-0.4636,-0.3188,0.8672,15.5802,-0.0687,-14.4275,1.0337
1780822984.8494093,-0.3967,-0.5393,1.1731,-20.229,3.7786,20.084,1.3507
1780822985.0510116,-0.4412,-0.2639,0.7307,-21.9542,-8.2443,6.0229,0.8934
1780822985.2494152,-0.5271,-0.3103,0.8589,34.9389,6.229,-4.9695,1.0544
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1780823012.9084156,0.0471,-0.9541,-0.2737,15.2443,-23.9618,-4.145,0.9937
1780823013.1065514,0.082,-0.9749,-0.4202,-2.8397,-0.4733,-0.3511,1.0647
1780823013.306255,0.1182,-0.9209,-0.3318,-8.7634,-1.1908,9.6183,0.986
1780823013.510114,0.0029,-0.8596,-0.3838,-14.2595,-14.1603,24.8168,0.9414
1780823013.7071867,-0.0498,-0.6199,-0.3167,-3.9313,-44.8626,11.7634,0.6978
1780823013.9070673,-0.075,-0.7349,-0.3569,-1.4504,-95.9618,20.8626,0.8204
1780823014.108637,-0.062,-0.5381,-0.0999,74.1221,-105.0763,70.4657,0.5508
