time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Total_A
1773565965.8443477,-0.11,-0.62,-0.07,-56.18,-107.59,4.06,0.63
1773565965.9467704,-0.06,-1.41,-0.02,38.27,-187.3,-122.96,1.41
1773565966.044885,-0.11,-1.37,0.21,37.92,-102.18,81.79,1.39
1773565966.1503534,0.27,-1.56,0.22,20.92,-41.41,58.15,1.6
1773565966.2476933,0.38,-0.75,-0.0,-77.77,-26.47,89.54,0.84
1773565966.3607745,-0.04,-0.41,0.04,1.07,-40.09,45.43,0.42
1773565966.4622593,-0.02,-0.41,0.06,36.4,-80.87,-163.01,0.42
1773565966.5633874,0.2,-0.99,0.23,16.17,-17.22,-131.73,1.03
1773565966.661015,-0.16,-1.64,0.31,30.84,88.79,31.07,1.68
1773565966.776273,0.31,-1.27,0.29,9.91,130.17,11.72,1.34
1773565966.876033,0.21,-0.71,0.16,-13.16,123.31,39.05,0.76
1773565966.9687412,0.14,-0.41,0.03,-4.14,51.68,88.7,0.44
1773565967.0782137,-0.09,-0.68,0.0,-53.31,-72.18,20.47,0.69
1773565967.1938183,-0.19,-1.08,0.09,-37.74,-183.18,-67.45,1.1
1773565967.3015127,-0.06,-1.97,0.47,40.18,-139.47,-76.69,2.03
1773565967.3941245,0.3,-0.8,0.1,-73.68,-16.46,64.43,0.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773565970.0630994,0.04,-0.96,0.14,-9.45,-118.64,-20.83,0.97
1773565970.1613994,0.03,-0.99,0.08,-11.47,-109.44,-2.54,0.99
1773565970.2631965,0.01,-1.01,0.08,-39.62,-111.33,-12.21,1.02
1773565970.371581,-0.07,-0.92,0.14,31.31,-85.15,-13.6,0.94
1773565970.4689565,-0.03,-0.95,0.14,17.56,-35.44,-17.59,0.96
1773565970.5635462,0.05,-1.21,0.22,61.18,1.79,-36.43,1.23
1773565970.6793902,0.19,-1.21,0.32,49.97,69.13,-82.72,1.27
1773565970.7767494,0.27,-0.81,0.2,-28.43,110.09,47.95,0.87
1773565970.8892446,0.15,-0.85,0.23,-30.73,66.4,66.61,0.89
1773565970.9792483,0.08,-0.75,0.14,-85.74,22.41,51.51,0.76
1773565971.086118,-0.06,-0.64,0.04,-31.51,-8.28,-63.65,0.64
1773565971.193357,0.02,-1.26,0.16,-13.76,-91.28,-85.66,1.27
1773565971.2853618,-0.14,-1.46,0.2,-23.05,-121.66,103.46,1.48
1773565971.3989058,0.07,-1.13,0.11,-22.21,-62.34,49.54,1.14
1773565971.4969585,0.28,-0.92,-0.12,-75.33,-57.01,64.3,0.97
1773565971.6098614,0.28,-1.09,0.15,90.41,-108.81,36.7,1.13
1773565971.7099786,-0.18,-0.08,0.09,47.8,-66.49,14.3,0.22
1773565971.8149984,-0.02,-0.45,0.19,-79.15,-61.05,-281.53,0.49
1773565971.923545,0.57,-2.0,0.37,-13.54,62.79,-117.82,2.11
1773565972.0189016,0.12,-1.62,0.48,139.4,177.57,142.08,1.69
1773565972.1252053,0.25,-0.43,0.15,-87.37,128.23,7.77,0.52
1773565972.2252254,0.34,-0.57,0.14,-64.15,91.3,31.14,0.67
1773565972.3297124,-0.05,-0.54,0.05,-71.79,4.34,-10.66,0.54
1773565972.4221618,0.07,-0.98,0.07,-14.58,-104.98,-189.12,0.98
1773565972.5295222,-0.04,-1.86,0.33,109.42,-85.18,27.85,1.89
1773565972.6468012,0.41,-1.21,0.26,64.67,-14.09,121.28,1.3
1773565972.7436745,0.28,-0.62,0.07,-78.11,-27.39,147.3,0.68
1773565972.84456,0.02,-0.63,0.05,-10.64,-62.89,12.38,0.63
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773565975.7507734,0.11,-0.88,0.3,10.37,-29.54,-87.08,0.93
1773565975.8595693,0.03,-0.86,0.34,-49.31,-5.05,-31.42,0.93
1773565975.9676602,-0.01,-1.05,0.26,37.19,3.28,-33.07,1.08
1773565976.067367,-0.04,-0.84,0.17,-44.35,10.05,12.3,0.86
1773565976.1723945,-0.08,-0.92,0.08,-70.84,-25.62,-53.16,0.93
1773565976.2739005,0.15,-1.06,0.17,-12.27,-60.79,-15.94,1.09
1773565976.3788922,-0.01,-1.12,0.13,-43.27,-91.42,21.14,1.13
1773565976.4766695,0.37,-1.17,0.11,-5.54,-66.82,85.48,1.23
1773565976.5785756,0.05,-0.93,-0.08,-51.1,-83.51,91.3,0.94
1773565976.6758523,0.09,-0.68,-0.01,22.37,-139.21,43.63,0.69
1773565976.7933395,0.04,-0.71,0.16,68.67,-134.99,-84.63,0.73
1773565976.896782,0.11,-0.89,0.32,40.81,-37.3,-96.79,0.95
1773565977.0098422,0.04,-1.35,0.39,19.56,45.56,-72.64,1.41
1773565977.0937495,0.46,-1.44,0.52,56.78,182.73,24.87,1.6
1773565977.2094195,0.24,-0.62,0.15,-158.98,165.71,109.17,0.68
1773565977.2989094,0.11,-0.46,-0.01,-28.4,50.73,49.25,0.47
1773565977.4095483,0.02,-0.72,0.03,-3.15,-74.31,-147.5,0.72
1773565977.5120502,0.16,-1.1,0.12,13.62,-140.4,-75.91,1.12
1773565977.625878,-0.55,-1.7,0.25,88.7,-140.64,174.55,1.81
1773565977.7285752,0.59,-0.85,0.24,-67.59,-18.98,115.95,1.06
1773565977.8440862,0.16,-0.67,0.03,-115.79,-7.89,104.15,0.69
1773565977.9290707,0.11,-0.55,0.15,101.62,-68.82,-99.83,0.58
1773565978.0593984,0.12,-0.64,0.32,78.31,31.24,-139.99,0.73
1773565978.1467493,-0.15,-1.2,0.37,-3.98,206.18,-8.64,1.27
1773565978.2550068,-0.3,-1.79,0.55,63.22,170.49,26.49,1.9
1773565978.3464394,0.48,-0.67,0.23,-141.85,100.0,-3.97,0.85
1773565978.4442143,0.06,-0.64,0.01,-62.4,26.84,84.67,0.64
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773565980.8930526,0.01,-1.04,0.08,-2.89,-91.13,-41.33,1.04
1773565981.0925615,0.05,-0.9,0.04,6.38,-70.82,29.79,0.9
1773565981.1085026,0.03,-0.95,0.12,15.57,-60.79,-8.87,0.96
1773565981.2062871,0.07,-1.01,0.22,87.31,-13.62,-87.82,1.04
1773565981.3090162,0.1,-1.36,0.41,27.59,62.55,-44.75,1.42
1773565981.4106894,0.29,-0.83,0.15,-75.71,139.19,154.56,0.89
1773565981.5128658,0.07,-0.71,0.16,-31.07,54.7,0.69,0.73
1773565981.6266732,0.22,-0.74,0.13,-6.18,20.23,-37.19,0.78
1773565981.711833,0.01,-0.8,-0.0,-44.46,-53.66,-42.38,0.8
1773565981.8129263,0.02,-1.19,0.1,100.17,-150.2,-169.88,1.2
1773565981.9277165,0.17,-1.41,0.25,-42.32,-194.89,40.14,1.45
1773565982.0263016,0.27,-1.07,0.01,11.6,-97.12,196.27,1.11
1773565982.1335204,0.27,-1.02,-0.1,-30.98,-157.07,188.27,1.06
1773565982.228416,0.23,-0.77,0.11,32.76,-82.49,133.72,0.82
1773565982.3432815,-0.03,-0.23,0.11,-66.76,-78.02,-45.34,0.26
1773565982.4339736,0.11,-0.91,0.21,50.73,-16.63,-268.93,0.94
1773565982.5428038,0.14,-1.57,0.36,51.25,88.0,-104.81,1.61
1773565982.6487677,0.23,-1.36,0.37,110.84,174.06,18.14,1.42
1773565982.7596123,0.2,-0.52,0.18,-143.19,151.63,23.83,0.58
1773565982.859052,0.14,-0.65,0.09,-74.5,108.96,42.14,0.67
1773565982.9596255,0.07,-0.67,0.05,-27.98,15.86,-71.76,0.68
1773565983.0664256,0.11,-1.01,0.16,39.42,-68.61,-101.16,1.02
1773565983.1601706,-0.01,-1.44,0.35,76.58,-63.7,94.09,1.49
1773565983.259937,0.38,-0.94,0.22,-80.23,-16.64,68.82,1.04
1773565983.3765297,0.12,-0.84,0.09,-59.6,17.27,144.58,0.85
