AccelX_mean,AccelX_std,AccelX_max,AccelX_min,AccelX_range,AccelY_mean,AccelY_std,AccelY_max,AccelY_min,AccelY_range,AccelZ_mean,AccelZ_std,AccelZ_max,AccelZ_min,AccelZ_range,GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,Total_A_mean,Total_A_std,Total_A_max,Total_A_min,Total_A_range,A_peak,A_mean,A_std,A_range,A_min,label
0.33440000000000003,0.1315953393298309,0.65,0.07,0.5800000000000001,-0.866,0.20738450601077535,-0.57,-1.36,0.7900000000000001,0.21359999999999998,0.17303371540444556,0.49,-0.11,0.6,14.643999999999998,87.3649838798894,230.29,-121.59,351.88,-109.33760000000001,140.81474707572357,133.18,-324.9,458.08,24.096,106.10933661401651,260.35,-152.38,412.73,0.972,0.22847319317591724,1.4,0.68,0.7199999999999999,1.4,0.972,0.22847319317591724,0.7199999999999999,0.68,0
0.2616,0.1286364385908337,0.65,-0.01,0.66,-0.8896,0.2161689154342039,-0.57,-1.36,0.7900000000000001,0.2028,0.14001547533516903,0.44,-0.04,0.48,-17.4776,65.69639020270952,104.17,-131.19,235.36,-25.339199999999995,109.25806670905357,194.09,-162.35,356.44,22.7008,97.76729723003837,260.35,-152.38,412.73,0.9660000000000001,0.22284149822987037,1.41,0.68,0.7299999999999999,1.41,0.9660000000000001,0.22284149822987037,0.7299999999999999,0.68,0
0.22519999999999998,0.1637355591596808,0.66,-0.02,0.68,-0.9351999999999999,0.22100377070689692,-0.52,-1.33,0.81,0.196,0.17909494688572317,0.45,-0.34,0.79,-22.198400000000003,65.1898499691478,140.75,-131.19,271.94,17.794,82.50424569883258,194.09,-127.39,321.48,-4.007999999999999,78.14429948285843,130.53,-152.38,282.90999999999997,1.006,0.23389812597225598,1.41,0.53,0.8799999999999999,1.41,1.006,0.23389812597225598,0.8799999999999999,0.53,0
0.2228,0.2511394035192407,0.93,-0.11,1.04,-0.9152,0.2568579373895228,-0.52,-1.4,0.8799999999999999,0.1396,0.15616444324279882,0.45,-0.34,0.79,-14.560799999999999,65.49112738379146,140.75,-131.19,271.94,23.831200000000003,64.65038691041738,194.09,-78.49,272.58,-9.9876,66.0120693686642,126.24,-119.19,245.43,0.9895999999999999,0.2767441658523867,1.42,0.53,0.8899999999999999,1.42,0.9895999999999999,0.2767441658523867,0.8899999999999999,0.53,0
0.1948,0.26220411896078216,0.93,-0.11,1.04,-0.9540000000000001,0.309434968935316,-0.52,-1.7,1.18,0.1304,0.1664201510234463,0.45,-0.34,0.79,-2.6848,58.88346373133971,140.75,-126.24,266.99,-30.838800000000003,68.83052340834455,121.07,-183.86,304.93,2.370400000000001,61.84229003952986,126.24,-117.7,243.94,1.0236,0.32667363938136584,1.72,0.53,1.19,1.72,1.0236,0.32667363938136584,1.19,0.53,0
0.06960000000000002,0.2777510876066315,0.93,-0.29,1.22,-0.9200000000000002,0.2630430889924057,-0.54,-1.7,1.16,0.2404,0.18294990206793407,0.56,-0.11,0.67,-1.1083999999999994,35.454667497148144,58.24,-75.6,133.84,-35.443200000000004,73.85023678138525,121.07,-183.86,304.93,11.4828,31.8412446783518,76.58,-42.0,118.58,1.0043999999999997,0.27729466877914066,1.72,0.58,1.1400000000000001,1.72,1.0043999999999997,0.27729466877914066,1.1400000000000001,0.58,0
-0.0672,0.20701288204682658,0.64,-0.45,1.09,-0.9348000000000001,0.1752170083068422,-0.59,-1.34,0.7500000000000001,0.33879999999999993,0.15319704087655656,0.61,0.04,0.57,-1.2248,40.38328244459581,85.3,-86.64,171.94,-15.882800000000001,65.68585486490477,140.4,-112.23,252.63,1.2144,31.596271283175174,76.58,-53.86,130.44,1.024,0.20269023985711135,1.4,0.6,0.7999999999999999,1.4,1.024,0.20269023985711135,0.7999999999999999,0.6,0
-0.1072,0.14498620624045586,0.15,-0.45,0.6,-0.9072,0.15090062955468408,-0.56,-1.06,0.5,0.3396,0.14675603337966495,0.61,0.1,0.51,-6.630799999999999,37.337806456726945,85.3,-86.64,171.94,-19.1972,64.56160104375769,140.4,-101.19,241.59,1.3079999999999985,41.639452145771564,96.53,-88.79,185.32,0.9904000000000001,0.18189923950729794,1.25,0.6,0.65,1.25,0.9904000000000001,0.18189923950729794,0.65,0.6,0
0.014400000000000003,0.3138879842661498,1.01,-0.49,1.5,-0.9564000000000001,0.47498140314472664,-0.03,-2.0,1.97,0.20440000000000003,0.31229099677490973,0.61,-0.51,1.12,-4.901200000000001,56.17013139560918,95.34,-130.17,225.51,-45.732400000000005,169.31349412849528,390.87,-394.46,785.3299999999999,0.7736000000000013,71.08245217585936,221.19,-119.86,341.05,1.0852,0.4366741729634732,2.25,0.44,1.81,2.25,1.0852,0.4366741729634732,1.81,0.44,0
0.0744,0.31654488886517607,1.01,-0.49,1.5,-0.8919999999999999,0.70178344238091,0.14,-2.0,2.14,0.10000000000000002,0.36851051545376556,0.76,-0.54,1.3,-1.108,68.65189551886628,129.48,-130.17,259.65,-51.57639999999999,215.42232511356232,390.87,-394.46,785.3299999999999,0.22560000000000058,76.75867432414398,221.19,-119.86,341.05,1.0844,0.5892939277926876,2.25,0.31,1.94,2.25,1.0844,0.5892939277926876,1.94,0.31,0
